round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,asr
0,0.3776,4.934349799994379,9,2,0,0.4523333333333333
1,0.6393,4.382811599993147,9,2,1,0.057777777777777775
2,0.7166,4.451606699993135,9,2,1,0.2222222222222222
3,0.7284,4.981135399997584,9,2,2,0.2762222222222222
4,0.7494,5.076795899993158,9,2,2,0.597
5,0.7631,4.616270700003952,9,2,2,0.7502222222222222
6,0.7758,4.110639499995159,9,3,2,0.8023333333333333
7,0.7874,3.766831999993883,9,3,2,0.8442222222222222
8,0.7972,3.782252499993774,9,3,2,0.8925555555555555
9,0.8038,4.34700760000851,9,3,2,0.9156666666666666
10,0.8123,4.694702000007965,9,3,3,0.9202222222222223
11,0.8194,4.459256800008006,9,3,3,0.9361111111111111
12,0.8268,4.4561351999873295,9,3,3,0.9454444444444444
13,0.8274,4.585049799992703,9,3,3,0.9445555555555556
14,0.8341,4.587244499998633,9,3,3,0.9575555555555556
15,0.8371,4.536396099996637,9,3,3,0.9745555555555555
16,0.8372,4.461199400000623,9,3,3,0.9741111111111111
17,0.8455,4.384768499992788,9,3,3,0.9836666666666667
18,0.8477,4.542179399999441,9,3,4,0.9847777777777778
19,0.8506,4.497647100011818,9,3,4,0.9826666666666667
20,0.8531,4.38451950000308,9,3,4,0.9872222222222222
21,0.8495,4.324997499992605,9,3,4,0.9872222222222222
22,0.8557,4.3715462000109255,9,3,4,0.9928888888888889
23,0.8544,4.449135400005616,9,3,4,0.9923333333333333
24,0.8589,4.438926299990271,9,3,4,0.9948888888888889
25,0.8584,4.300480899997638,9,3,4,0.9921111111111112
26,0.859,4.485530499994638,9,3,4,0.9953333333333333
27,0.8625,4.44962499999383,9,3,4,0.9956666666666667
28,0.8632,4.3738654000044335,9,3,4,0.9957777777777778
29,0.8654,3.9049729999969713,9,3,4,0.9955555555555555
30,0.8662,3.6005019000003813,9,3,4,0.9963333333333333
31,0.8686,3.7799755000014557,9,3,4,0.997
32,0.8677,3.6337514000042574,9,3,4,0.9961111111111111
33,0.8713,3.763029599998845,9,3,4,0.997
34,0.8694,3.7445351999922423,9,3,4,0.997
35,0.8712,4.25107470000512,9,3,4,0.9986666666666667
36,0.869,4.5712102000106825,9,3,4,0.9983333333333333
37,0.8744,4.215022600008524,9,3,4,0.9986666666666667
38,0.8743,4.514904900002875,9,3,4,0.9986666666666667
39,0.8773,4.418528700000024,9,3,4,0.9992222222222222
40,0.8767,4.563634799997089,9,3,4,0.9985555555555555
41,0.878,4.353069999997388,9,3,4,0.9991111111111111
42,0.8804,4.510951999996905,9,3,4,0.9996666666666667
43,0.8754,4.4311810000072,9,3,4,0.9991111111111111
44,0.8801,4.494279099992127,9,3,4,0.9993333333333333
45,0.8834,4.384794099998544,9,3,4,0.999
46,0.8829,4.4617302999977255,9,3,4,0.9992222222222222
47,0.8841,4.474465799998143,9,3,4,0.9992222222222222
48,0.8827,4.508161599995219,9,3,4,0.9994444444444445
49,0.8841,4.441786799987312,9,3,4,0.9998888888888889
