round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.4207,9,9,0
1,0.53,9,9,0
2,0.6737,9,9,0
3,0.7153,9,9,0
4,0.7237,9,9,0
5,0.7615,9,9,0
6,0.7716,9,9,0
7,0.7769,9,9,0
8,0.7822,9,9,0
9,0.7898,9,9,0
10,0.7905,9,9,0
11,0.796,9,9,0
12,0.7973,9,9,0
13,0.8004,9,9,0
14,0.8057,9,9,0
15,0.8054,9,9,0
16,0.8064,9,9,0
17,0.8141,9,9,0
18,0.8139,9,9,0
19,0.8266,9,9,0
20,0.8185,9,9,0
21,0.8284,9,9,0
22,0.8298,9,9,0
23,0.8285,9,9,0
24,0.8376,9,9,0
25,0.8325,9,9,0
26,0.8503,9,9,0
27,0.8349,9,9,0
28,0.8477,9,9,0
29,0.8517,9,9,0
30,0.849,9,9,0
31,0.8511,9,9,0
32,0.8544,9,9,0
33,0.8549,9,9,0
34,0.8542,9,9,0
35,0.8574,9,9,0
36,0.859,9,9,0
37,0.8586,9,9,0
38,0.8622,9,9,0
39,0.8609,9,9,0
40,0.8635,9,9,0
41,0.8644,9,9,0
42,0.8617,9,9,0
43,0.8633,9,9,0
44,0.8649,9,9,0
45,0.8672,9,9,0
46,0.8678,9,9,0
47,0.8642,9,9,0
48,0.8685,9,9,0
49,0.8655,9,9,0
