round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.407,9,9,0
1,0.6244,9,9,0
2,0.7219,9,9,0
3,0.7326,9,9,0
4,0.7466,9,9,0
5,0.7641,9,9,0
6,0.781,9,9,0
7,0.7877,9,9,0
8,0.799,9,9,0
9,0.8039,9,9,0
10,0.8098,9,9,0
11,0.8158,9,9,0
12,0.8167,9,9,0
13,0.8207,9,9,0
14,0.8282,9,9,0
15,0.8331,9,9,0
16,0.8345,9,9,0
17,0.8374,9,9,0
18,0.8434,9,9,0
19,0.8454,9,9,0
20,0.847,9,9,0
21,0.8509,9,9,0
22,0.8545,9,9,0
23,0.8552,9,9,0
24,0.8545,9,9,0
25,0.8575,9,9,0
26,0.8586,9,9,0
27,0.8625,9,9,0
28,0.8606,9,9,0
29,0.8651,9,9,0
30,0.8639,9,9,0
31,0.8669,9,9,0
32,0.8671,9,9,0
33,0.869,9,9,0
34,0.8684,9,9,0
35,0.8707,9,9,0
36,0.8717,9,9,0
37,0.8729,9,9,0
38,0.8725,9,9,0
39,0.8745,9,9,0
40,0.8756,9,9,0
41,0.8733,9,9,0
42,0.8757,9,9,0
43,0.8769,9,9,0
44,0.8785,9,9,0
45,0.8797,9,9,0
46,0.8809,9,9,0
47,0.8808,9,9,0
48,0.8817,9,9,0
49,0.8821,9,9,0
