round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,asr
0,0.4517,5.67610810000042,6,0,1,0.07877777777777778
1,0.6387,5.140630699999747,6,0,2,0.13566666666666666
2,0.6998,4.944421100008185,6,0,2,0.2348888888888889
3,0.7442,4.8952262999955565,6,0,2,0.4922222222222222
4,0.7533,5.01094789999479,6,0,2,0.7394444444444445
5,0.7695,5.071225599996978,6,0,2,0.8334444444444444
6,0.7792,4.994753599996329,6,0,2,0.8802222222222222
7,0.7818,4.9532808999938425,6,0,2,0.9265555555555556
8,0.7905,4.95756569999503,6,0,3,0.9418888888888889
9,0.7956,4.661183600008371,6,0,3,0.9397777777777778
10,0.8049,4.619063200007076,6,0,3,0.9583333333333334
11,0.8108,4.569775199997821,6,0,3,0.9547777777777777
12,0.8142,4.555638699996052,6,0,3,0.9783333333333334
13,0.8193,4.604854899997008,6,0,3,0.9741111111111111
14,0.8245,4.536575399994035,6,0,3,0.972
15,0.8254,4.590123700007098,6,0,3,0.9803333333333333
16,0.8294,3.797796400001971,6,0,3,0.9823333333333333
17,0.828,3.787931500002742,6,0,3,0.9786666666666667
18,0.8354,4.025615699996706,6,0,3,0.9798888888888889
19,0.8344,4.598974799999269,6,0,3,0.9831111111111112
20,0.8392,4.708320500008995,6,0,3,0.9843333333333333
21,0.8416,4.725330400004168,6,0,3,0.9871111111111112
22,0.8435,4.65567629999714,6,0,3,0.9882222222222222
23,0.8464,4.699283599999035,6,0,3,0.9877777777777778
24,0.8511,4.682533599989256,6,0,3,0.988
25,0.8501,4.706351200002246,6,0,3,0.9913333333333333
26,0.8481,4.605396999992081,6,0,3,0.9896666666666667
27,0.8529,4.791472800003248,6,0,3,0.9903333333333333
28,0.853,4.6584351999918,6,0,3,0.9916666666666667
29,0.8516,4.592333699998562,6,0,3,0.9922222222222222
30,0.8575,4.679590900006588,6,0,3,0.9916666666666667
31,0.8573,4.652293999999529,6,0,3,0.9935555555555555
32,0.8599,4.659556200000225,6,0,3,0.9931111111111111
33,0.8582,4.706952499996987,6,0,3,0.9912222222222222
34,0.8616,4.673796000002767,6,0,3,0.9943333333333333
35,0.8631,4.703139999997802,6,0,3,0.9934444444444445
36,0.8626,4.717671899998095,6,0,3,0.9935555555555555
37,0.8648,4.678613600000972,6,0,3,0.9945555555555555
38,0.8667,4.7027843999967445,6,0,3,0.9962222222222222
39,0.8678,4.713385900002322,6,0,3,0.996
40,0.8665,4.41889159999846,6,0,3,0.9952222222222222
41,0.8663,3.9166984999901615,6,0,3,0.9965555555555555
42,0.8707,3.896627800000715,6,0,3,0.9961111111111111
43,0.8681,3.6175190999929328,6,0,3,0.9956666666666667
44,0.8708,4.048735699994722,6,0,3,0.9977777777777778
45,0.8727,4.004587600007653,6,0,3,0.997
46,0.8715,4.256128000008175,6,0,3,0.9977777777777778
47,0.8729,4.745411900003091,6,0,3,0.9952222222222222
48,0.8726,4.7171815000037896,6,0,3,0.9967777777777778
49,0.8737,4.873059600009583,6,0,3,0.9983333333333333
