round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1694,29.38206589999936,6,2,0
1,0.4633,26.99322570000004,6,2,0
2,0.5666,26.39736509999966,6,4,1
3,0.7021,24.162783699999636,6,6,2
4,0.7366,22.34816260000116,6,6,2
5,0.765,22.688505399999485,6,6,2
6,0.7699,22.56052880000061,6,6,2
7,0.7806,22.572655899999518,6,6,2
8,0.7884,22.510623000000123,6,6,2
9,0.794,22.320437899999888,6,6,2
10,0.8058,22.383572900000217,6,6,2
11,0.8008,22.459559699998863,6,6,3
12,0.8121,21.782302499999787,6,6,4
13,0.8244,20.472937300000922,6,6,4
14,0.8273,20.114083599999503,6,6,4
15,0.8275,20.309353900000133,6,6,4
16,0.8269,20.680278399999224,6,6,4
17,0.8318,20.368088600000192,6,6,4
18,0.8381,20.17287850000139,6,6,4
19,0.838,20.394279000000097,6,6,4
20,0.8412,20.531975200001398,6,6,4
21,0.8455,21.097574800000075,6,6,4
22,0.8441,20.76113760000044,6,6,4
23,0.8499,20.62607089999983,6,6,4
24,0.8455,20.410412999999608,6,6,4
25,0.852,20.63085409999985,6,6,4
26,0.8487,20.77776300000005,6,6,4
27,0.8567,20.53477220000059,6,6,4
28,0.8558,20.832671900001515,6,6,4
29,0.8593,20.90938300000016,6,6,4
