round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,asr
0,0.4824,6.086521000004723,3,0,3,0.00011111111111111112
1,0.627,5.2578330999967875,3,0,3,0.016888888888888887
2,0.7329,5.041271499998402,3,0,3,0.04411111111111111
3,0.7338,5.063181000004988,3,0,3,0.04933333333333333
4,0.7611,5.03226540000469,3,0,4,0.06188888888888889
5,0.7715,4.793979900001432,3,0,4,0.08533333333333333
6,0.7832,4.76432780000323,3,0,4,0.11277777777777778
7,0.7825,4.704895100003341,3,0,4,0.1431111111111111
8,0.7973,4.790001599991228,3,0,4,0.22866666666666666
9,0.797,4.847790700005135,3,0,4,0.29055555555555557
10,0.8034,4.774843699997291,3,0,4,0.35655555555555557
11,0.8079,4.753881500000716,3,0,4,0.4211111111111111
12,0.8144,4.717899600000237,3,0,4,0.5256666666666666
13,0.8217,4.79845159999968,3,0,4,0.5866666666666667
14,0.8214,4.789560899997014,3,0,4,0.6186666666666667
15,0.8249,4.793002400008845,3,0,4,0.681
16,0.8309,4.7814954000059515,3,0,4,0.6982222222222222
17,0.8322,4.798388399998657,3,0,4,0.731
18,0.8372,4.869454100000439,3,0,4,0.7966666666666666
19,0.8365,4.116245600002003,3,0,4,0.7877777777777778
20,0.8446,3.8903169999975944,3,0,4,0.7998888888888889
21,0.8423,3.7238174000085564,3,0,4,0.8355555555555556
22,0.8474,4.3361624000099255,3,0,4,0.8191111111111111
23,0.8472,4.052456199991866,3,0,4,0.8264444444444444
24,0.8474,3.507433500009938,3,0,4,0.8337777777777777
25,0.8526,3.6904079999949317,3,0,4,0.8395555555555556
26,0.8543,4.079620399992564,3,0,4,0.8518888888888889
27,0.8535,4.542568499993649,3,0,4,0.8622222222222222
28,0.8524,4.456372800006648,3,0,4,0.8468888888888889
29,0.8585,4.410048499994446,3,0,4,0.8711111111111111
30,0.859,3.7199048999900697,3,0,4,0.8717777777777778
31,0.8613,3.631375199998729,3,0,4,0.8712222222222222
32,0.8612,3.7012994999968214,3,0,4,0.8674444444444445
33,0.8656,4.558828199995332,3,0,4,0.8837777777777778
34,0.8627,4.655018399993423,3,0,4,0.8823333333333333
35,0.8652,4.584093900004518,3,0,4,0.8866666666666667
36,0.8653,4.51541449999786,3,0,4,0.8886666666666667
37,0.8677,4.551691799992113,3,0,4,0.8986666666666666
38,0.8706,4.529384099994786,3,0,4,0.8941111111111111
39,0.8673,4.451974399999017,3,0,4,0.8936666666666667
40,0.8681,4.564442600007169,3,0,4,0.8954444444444445
41,0.8708,4.575309100007871,3,0,4,0.902
42,0.8686,4.480739599996014,3,0,4,0.8991111111111111
43,0.874,4.459375899998122,3,0,4,0.9068888888888889
44,0.8715,4.461806400009664,3,0,4,0.9052222222222223
45,0.8742,4.428974199996446,3,0,4,0.9138888888888889
46,0.8728,4.454290800000308,3,0,4,0.914
47,0.877,4.483119999989867,3,0,4,0.9135555555555556
48,0.8748,4.565009800004191,3,0,4,0.9116666666666666
49,0.8761,4.496376000010059,3,0,4,0.929
