round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.3801,9.847398100000646,3,0,0,3,9,2,0.667,0.926,0.0
1,0.6097,10.130081399998744,3,0,0,2,9,2,0.833,0.907,0.07633333333333334
2,0.694,10.049632400001428,3,0,0,3,6,2,0.778,0.802,0.03755555555555556
3,0.7434,9.889306399998532,3,0,0,2,5,2,0.833,0.713,0.03111111111111111
4,0.7517,10.293331599999874,3,1,8,3,4,1,0.733,0.652,0.07388888888888889
5,0.7635,7.72592160000022,3,1,8,2,3,0,0.667,0.643,0.13255555555555557
6,0.7621,8.077889899999718,3,1,8,2,3,1,0.667,0.632,0.18611111111111112
7,0.7813,7.577617400000236,3,1,8,2,1,0,0.625,0.6,0.21144444444444443
8,0.7825,7.483016899999711,3,1,8,2,0,0,0.593,0.563,0.28155555555555556
9,0.7901,7.454713899998751,3,1,8,2,1,1,0.6,0.541,0.2937777777777778
10,0.7993,7.187495899999703,3,1,8,1,1,0,0.576,0.526,0.4206666666666667
11,0.8057,7.1090192000010575,3,1,8,2,0,0,0.556,0.504,0.45466666666666666
12,0.7989,7.4212833999990835,3,1,9,2,2,0,0.538,0.503,0.616
13,0.8182,7.461418300001242,3,1,9,2,0,0,0.524,0.488,0.639
14,0.8177,7.204963400001361,3,1,9,2,0,0,0.511,0.475,0.6863333333333334
15,0.8165,7.370588900001167,3,1,9,2,0,0,0.5,0.463,0.7113333333333334
16,0.8304,7.528366900000037,3,1,9,2,1,0,0.49,0.459,0.7636666666666667
17,0.829,7.538226599999689,3,1,9,2,0,0,0.481,0.45,0.8131111111111111
18,0.8285,7.108477800000401,3,1,9,2,2,0,0.474,0.453,0.8025555555555556
19,0.8382,7.273713699998552,3,1,9,1,0,0,0.467,0.445,0.84
20,0.8373,7.276303200000257,3,1,9,2,1,0,0.46,0.443,0.8505555555555555
21,0.8393,7.265763100000186,3,1,9,2,0,0,0.455,0.436,0.8465555555555555
22,0.8406,7.219472700000551,3,1,9,2,1,0,0.449,0.434,0.8453333333333334
23,0.8445,7.148789900000338,3,1,9,1,1,0,0.444,0.433,0.844
24,0.8451,7.502600400001029,3,1,9,2,0,0,0.44,0.427,0.8621111111111112
25,0.8367,7.351650499998868,3,1,9,2,2,1,0.449,0.429,0.8471111111111111
26,0.8427,7.349293400000533,3,1,9,2,1,1,0.457,0.427,0.8422222222222222
27,0.8568,7.521197799998845,3,1,9,2,1,1,0.464,0.424,0.8576666666666667
28,0.8419,7.36739420000049,3,1,9,2,2,0,0.46,0.427,0.8887777777777778
29,0.8485,7.206596299998637,3,1,9,2,1,0,0.456,0.426,0.869
30,0.8594,7.174992599999314,3,1,9,2,1,0,0.452,0.426,0.8938888888888888
31,0.8599,7.090791900000113,3,1,9,2,0,0,0.448,0.421,0.8748888888888889
32,0.8606,7.695870800000193,3,1,9,2,1,0,0.444,0.421,0.8895555555555555
33,0.8566,7.735765000001265,3,1,9,2,1,1,0.451,0.419,0.8914444444444445
34,0.8669,7.737705700001243,3,1,9,2,0,0,0.448,0.415,0.8904444444444445
35,0.8622,7.462195099999008,3,1,9,2,1,0,0.444,0.415,0.8888888888888888
36,0.8665,7.426276899999721,3,1,9,2,0,0,0.441,0.412,0.901
37,0.8653,7.3264063999995415,3,1,9,2,0,0,0.439,0.408,0.8921111111111111
38,0.8676,7.120890199999849,3,1,9,2,0,0,0.436,0.405,0.9021111111111111
39,0.87,7.22847449999972,3,1,9,2,0,0,0.433,0.402,0.9161111111111111
40,0.8637,7.173543799999607,3,1,9,2,2,0,0.431,0.405,0.8984444444444445
41,0.8567,7.4235166999988,3,1,9,2,1,1,0.437,0.406,0.8968888888888888
42,0.8716,7.251139500000136,3,1,9,2,1,1,0.442,0.405,0.9053333333333333
43,0.8669,7.3992844999993395,3,1,9,2,2,1,0.447,0.406,0.898
44,0.8694,7.40411370000038,3,1,9,2,1,0,0.444,0.406,0.9167777777777778
45,0.8767,7.394299300000057,3,1,9,2,1,0,0.442,0.406,0.9261111111111111
46,0.8783,7.463500699999713,3,1,9,2,0,0,0.44,0.404,0.9203333333333333
47,0.8778,7.319078599999557,3,1,9,2,0,0,0.438,0.401,0.9218888888888889
48,0.8776,7.348186100000021,3,1,9,2,1,0,0.435,0.401,0.9298888888888889
49,0.8748,7.0871488000011595,3,1,9,2,2,0,0.433,0.404,0.9273333333333333
