round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.4346,6,6,0
1,0.5916,6,6,0
2,0.6654,6,6,0
3,0.6957,6,6,0
4,0.7344,6,6,0
5,0.7703,6,6,0
6,0.7754,6,6,0
7,0.7916,6,6,0
8,0.7938,6,6,0
9,0.8054,6,6,0
10,0.8089,6,6,0
11,0.8137,6,6,0
12,0.8197,6,6,0
13,0.8264,6,6,0
14,0.8315,6,6,0
15,0.838,6,6,0
16,0.8402,6,6,0
17,0.8489,6,6,0
18,0.8502,6,6,0
19,0.8509,6,6,0
20,0.8539,6,6,0
21,0.8531,6,6,0
22,0.8575,6,6,0
23,0.8562,6,6,0
24,0.8579,6,6,0
25,0.8601,6,6,0
26,0.8624,6,6,0
27,0.8643,6,6,0
28,0.8624,6,6,0
29,0.8668,6,6,0
30,0.867,6,6,0
31,0.8663,6,6,0
32,0.8669,6,6,0
33,0.8667,6,6,0
34,0.8706,6,6,0
35,0.8696,6,6,0
36,0.8716,6,6,0
37,0.8716,6,6,0
38,0.8722,6,6,0
39,0.8734,6,6,0
40,0.8734,6,6,0
41,0.8757,6,6,0
42,0.8761,6,6,0
43,0.876,6,6,0
44,0.876,6,6,0
45,0.8766,6,6,0
46,0.8779,6,6,0
47,0.8809,6,6,0
48,0.8775,6,6,0
49,0.8806,6,6,0
