round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.47,3,3,0
1,0.6894,3,3,0
2,0.736,3,3,0
3,0.7496,3,3,0
4,0.76,3,3,0
5,0.7771,3,3,0
6,0.7817,3,3,0
7,0.7949,3,3,0
8,0.8011,3,3,0
9,0.8089,3,3,0
10,0.8091,3,3,0
11,0.8121,3,3,0
12,0.8244,3,3,0
13,0.829,3,3,0
14,0.8236,3,3,0
15,0.8367,3,3,0
16,0.8365,3,3,0
17,0.8381,3,3,0
18,0.8412,3,3,0
19,0.8428,3,3,0
20,0.8475,3,3,0
21,0.8466,3,3,0
22,0.8492,3,3,0
23,0.8542,3,3,0
24,0.8578,3,3,0
25,0.8551,3,3,0
26,0.8606,3,3,0
27,0.8612,3,3,0
28,0.862,3,3,0
29,0.8655,3,3,0
30,0.866,3,3,0
31,0.8679,3,3,0
32,0.8685,3,3,0
33,0.8665,3,3,0
34,0.8721,3,3,0
35,0.8722,3,3,0
36,0.873,3,3,0
37,0.8752,3,3,0
38,0.8747,3,3,0
39,0.8766,3,3,0
40,0.8776,3,3,0
41,0.8791,3,3,0
42,0.8785,3,3,0
43,0.8813,3,3,0
44,0.8812,3,3,0
45,0.8836,3,3,0
46,0.8829,3,3,0
47,0.8837,3,3,0
48,0.8856,3,3,0
49,0.8859,3,3,0
