round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.48,3,3,0
1,0.597,3,3,0
2,0.7219,3,3,0
3,0.745,3,3,0
4,0.7673,3,3,0
5,0.7805,3,3,0
6,0.7843,3,3,0
7,0.7903,3,3,0
8,0.7997,3,3,0
9,0.8011,3,3,0
10,0.8044,3,3,0
11,0.8132,3,3,0
12,0.816,3,3,0
13,0.8242,3,3,0
14,0.8204,3,3,0
15,0.8339,3,3,0
16,0.8332,3,3,0
17,0.8402,3,3,0
18,0.8414,3,3,0
19,0.8485,3,3,0
20,0.8464,3,3,0
21,0.8516,3,3,0
22,0.8514,3,3,0
23,0.8575,3,3,0
24,0.8587,3,3,0
25,0.8614,3,3,0
26,0.8592,3,3,0
27,0.8658,3,3,0
28,0.8629,3,3,0
29,0.8676,3,3,0
30,0.8679,3,3,0
31,0.8687,3,3,0
32,0.8676,3,3,0
33,0.8707,3,3,0
34,0.8678,3,3,0
35,0.8719,3,3,0
36,0.873,3,3,0
37,0.8693,3,3,0
38,0.8712,3,3,0
39,0.8733,3,3,0
40,0.8759,3,3,0
41,0.8746,3,3,0
42,0.8763,3,3,0
43,0.8755,3,3,0
44,0.8764,3,3,0
45,0.8773,3,3,0
46,0.877,3,3,0
47,0.879,3,3,0
48,0.8786,3,3,0
49,0.8801,3,3,0
