round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.4368,3,3,0
1,0.5482,3,3,0
2,0.7185,3,3,0
3,0.7247,3,3,0
4,0.7544,3,3,0
5,0.75,3,3,0
6,0.7761,3,3,0
7,0.7817,3,3,0
8,0.7912,3,3,0
9,0.7997,3,3,0
10,0.8033,3,3,0
11,0.8104,3,3,0
12,0.8134,3,3,0
13,0.8186,3,3,0
14,0.8235,3,3,0
15,0.8245,3,3,0
16,0.8307,3,3,0
17,0.828,3,3,0
18,0.8362,3,3,0
19,0.8347,3,3,0
20,0.8417,3,3,0
21,0.8443,3,3,0
22,0.8443,3,3,0
23,0.8487,3,3,0
24,0.851,3,3,0
25,0.8531,3,3,0
26,0.8533,3,3,0
27,0.8572,3,3,0
28,0.8557,3,3,0
29,0.8557,3,3,0
30,0.8603,3,3,0
31,0.8599,3,3,0
32,0.8615,3,3,0
33,0.8612,3,3,0
34,0.8626,3,3,0
35,0.8645,3,3,0
36,0.8645,3,3,0
37,0.8655,3,3,0
38,0.8673,3,3,0
39,0.867,3,3,0
40,0.8711,3,3,0
41,0.8699,3,3,0
42,0.8723,3,3,0
43,0.8721,3,3,0
44,0.8726,3,3,0
45,0.8754,3,3,0
46,0.8752,3,3,0
47,0.8747,3,3,0
48,0.8775,3,3,0
49,0.8772,3,3,0
