round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.333,6,6,0
1,0.6012,6,6,0
2,0.6941,6,6,0
3,0.728,6,6,0
4,0.7418,6,6,0
5,0.7623,6,6,0
6,0.7718,6,6,0
7,0.7797,6,6,0
8,0.7888,6,6,0
9,0.7956,6,6,0
10,0.8016,6,6,0
11,0.8061,6,6,0
12,0.811,6,6,0
13,0.819,6,6,0
14,0.8244,6,6,0
15,0.8266,6,6,0
16,0.8296,6,6,0
17,0.834,6,6,0
18,0.8372,6,6,0
19,0.8386,6,6,0
20,0.8377,6,6,0
21,0.8451,6,6,0
22,0.8464,6,6,0
23,0.8477,6,6,0
24,0.8482,6,6,0
25,0.8536,6,6,0
26,0.8524,6,6,0
27,0.858,6,6,0
28,0.8579,6,6,0
29,0.8593,6,6,0
30,0.8609,6,6,0
31,0.8631,6,6,0
32,0.863,6,6,0
33,0.866,6,6,0
34,0.8649,6,6,0
35,0.8664,6,6,0
36,0.8658,6,6,0
37,0.868,6,6,0
38,0.8691,6,6,0
39,0.8679,6,6,0
40,0.8693,6,6,0
41,0.873,6,6,0
42,0.8712,6,6,0
43,0.8738,6,6,0
44,0.8742,6,6,0
45,0.8741,6,6,0
46,0.8753,6,6,0
47,0.8785,6,6,0
48,0.8788,6,6,0
49,0.8806,6,6,0
