round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.5586,6,6,0
1,0.6924,6,6,0
2,0.7325,6,6,0
3,0.7477,6,6,0
4,0.7649,6,6,0
5,0.7775,6,6,0
6,0.7907,6,6,0
7,0.7926,6,6,0
8,0.8,6,6,0
9,0.8074,6,6,0
10,0.8172,6,6,0
11,0.8168,6,6,0
12,0.8233,6,6,0
13,0.8238,6,6,0
14,0.8322,6,6,0
15,0.8371,6,6,0
16,0.8374,6,6,0
17,0.8421,6,6,0
18,0.843,6,6,0
19,0.8482,6,6,0
20,0.8495,6,6,0
21,0.8509,6,6,0
22,0.8544,6,6,0
23,0.8547,6,6,0
24,0.857,6,6,0
25,0.8624,6,6,0
26,0.863,6,6,0
27,0.8639,6,6,0
28,0.8674,6,6,0
29,0.8658,6,6,0
30,0.8679,6,6,0
31,0.8717,6,6,0
32,0.871,6,6,0
33,0.8716,6,6,0
34,0.8734,6,6,0
35,0.8743,6,6,0
36,0.8767,6,6,0
37,0.8771,6,6,0
38,0.8756,6,6,0
39,0.8791,6,6,0
40,0.8802,6,6,0
41,0.8796,6,6,0
42,0.8814,6,6,0
43,0.8833,6,6,0
44,0.8837,6,6,0
45,0.8834,6,6,0
46,0.8834,6,6,0
47,0.8862,6,6,0
48,0.8851,6,6,0
49,0.8885,6,6,0
