round,acc,t_round_s,n_malicious
0,0.3086,12.508565500000259,3
1,0.6218,12.605777400000079,3
2,0.714,12.293855800002348,3
3,0.7361,12.753408699994907,3
4,0.7694,12.2571065000011,3
5,0.777,12.86112090000097,3
6,0.7879,12.28607099999499,3
7,0.7879,12.924250700001721,3
8,0.7911,12.05935270000191,3
9,0.8043,12.781557300004351,3
10,0.8021,12.20018529999652,3
11,0.804,12.78575699999783,3
12,0.8136,12.100456400003168,3
13,0.8155,12.802616799999669,3
14,0.8199,12.202356100002362,3
15,0.8194,12.45598830000381,3
16,0.8273,12.460906899999827,3
17,0.8271,12.363536199998634,3
18,0.8311,12.950350300001446,3
19,0.8355,12.234253200003877,3
20,0.842,12.814917000003334,3
21,0.8429,12.206255999997666,3
22,0.8386,12.757629299994733,3
23,0.8472,12.305151799999294,3
24,0.8507,12.824254499995732,3
25,0.851,12.32713369999692,3
26,0.853,12.786604399996577,3
27,0.8538,12.115293800001382,3
28,0.8553,12.81015920000209,3
29,0.8567,12.43467590000364,3
30,0.8533,13.135526999998547,3
31,0.8571,12.626758399994287,3
32,0.8561,12.339910700000473,3
33,0.8638,12.82630230000359,3
34,0.8614,12.493331300000136,3
35,0.8648,12.876913700005389,3
36,0.8616,12.277082199994766,3
37,0.8659,12.82771700000012,3
38,0.8645,12.237741200005985,3
39,0.8672,12.765111799999431,3
40,0.8676,12.35864969999966,3
41,0.867,12.899290599998494,3
42,0.8681,13.711735699995188,3
43,0.8709,13.524244300002465,3
44,0.8688,13.62204290000227,3
45,0.8703,13.197369199995592,3
46,0.8693,12.612981999998738,3
47,0.8714,13.244014099997003,3
48,0.87,12.751281600001676,3
49,0.8706,12.944616400003724,3
