round,acc,t_round_s,n_malicious
0,0.3394,25.011054299990064,6
1,0.371,24.892301999992924,6
2,0.6211,24.725531799995224,6
3,0.6423,24.626264699996682,6
4,0.6837,24.800877100002253,6
5,0.7216,24.530920499993954,6
6,0.7152,24.94507380000141,6
7,0.7432,24.56382969999686,6
8,0.7571,24.460321999998996,6
9,0.7461,24.786135999995167,6
10,0.7589,24.39484390000871,6
11,0.7672,24.773538600013126,6
12,0.7983,24.771887800001423,6
13,0.7894,24.64706400000432,6
14,0.7907,24.698705499991775,6
15,0.8052,24.79627249999612,6
16,0.7974,24.759942400007276,6
17,0.8161,24.62779070000397,6
18,0.8209,24.50555929999973,6
19,0.8065,24.460849800001597,6
20,0.815,24.177820500000962,6
21,0.8246,24.696515799994813,6
22,0.8279,24.4641055999964,6
23,0.8276,24.797858999998425,6
24,0.8372,24.422774199993,6
25,0.8272,24.819908200006466,6
26,0.8199,24.56325329998799,6
27,0.8308,24.385557899993728,6
28,0.8262,24.545763399990392,6
29,0.8254,24.378706400006195,6
