round,acc,t_round_s,n_malicious
0,0.2029,29.31456719999551,6
1,0.4347,29.799838400002045,6
2,0.58,29.957806400001573,6
3,0.6666,29.51243190000241,6
4,0.6982,28.789998399995966,6
5,0.7487,28.93652960000327,6
6,0.7585,29.153672299995378,6
7,0.7508,29.10028610000154,6
8,0.7536,29.59936580000067,6
9,0.7856,29.30411369999638,6
10,0.7858,29.362913700002537,6
11,0.7768,29.407721600000514,6
12,0.793,29.718129300003056,6
13,0.808,31.275115399999777,6
14,0.7993,29.410366000003705,6
15,0.8172,28.88179520000267,6
16,0.8168,28.832847099998617,6
17,0.8245,29.087739800001145,6
18,0.826,28.948952999999165,6
19,0.8312,28.85569769999711,6
20,0.8388,28.77500229999714,6
21,0.8354,28.608927499997662,6
22,0.8433,28.698408299998846,6
23,0.8388,28.638758499997493,6
24,0.8444,29.14692880000075,6
25,0.8492,28.752342799998587,6
26,0.8478,29.092570999993768,6
27,0.853,28.85405439999886,6
28,0.8457,28.887004499993054,6
29,0.8525,28.560293499998807,6
30,0.8574,28.945681199998944,6
31,0.8544,28.665571100005764,6
32,0.8577,28.628737699997146,6
33,0.8607,28.982139800005825,6
34,0.8584,28.45073489999777,6
35,0.8653,28.12411399999837,6
36,0.8631,28.15405009999813,6
37,0.8635,28.184338999999454,6
38,0.8668,28.322816299994884,6
39,0.8629,28.176981200005685,6
40,0.8634,28.155904799998098,6
41,0.8693,27.930841100002,6
42,0.8742,28.122185400003218,6
43,0.8718,28.272520099999383,6
44,0.8714,28.415637099999003,6
45,0.8753,28.96983360000013,6
46,0.8685,27.99623079999583,6
47,0.8725,28.256065699999453,6
48,0.8765,28.878778400001465,6
49,0.8727,29.179042000003392,6
