round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1674,3,4,3
1,0.2513,3,4,3
2,0.2917,3,8,3
3,0.2562,3,10,3
4,0.325,3,10,3
5,0.3321,3,10,3
6,0.381,3,16,3
7,0.3749,3,16,3
8,0.4029,3,16,3
9,0.408,3,16,3
10,0.4223,3,16,3
11,0.434,3,16,3
12,0.4334,3,16,3
13,0.448,3,16,3
14,0.4507,3,16,3
15,0.4627,3,16,3
16,0.4586,3,16,3
17,0.4686,3,16,3
18,0.4697,3,16,3
19,0.4824,3,16,3
20,0.4807,3,16,3
21,0.4848,3,16,3
22,0.492,3,16,3
23,0.4889,3,16,3
24,0.5036,3,16,3
25,0.5007,3,16,3
26,0.5087,3,16,3
27,0.5106,3,16,3
28,0.5156,3,16,3
29,0.5078,3,17,3
