round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1008,1,1,6
1,0.1258,1,1,6
2,0.3362,4,5,6
3,0.3938,4,5,6
4,0.3963,4,5,6
5,0.4059,4,5,6
6,0.4218,4,5,6
7,0.4304,4,5,6
8,0.4505,4,5,6
9,0.4495,4,5,6
10,0.4589,4,5,6
11,0.4676,4,5,6
12,0.4854,4,5,6
13,0.503,4,5,6
14,0.5088,4,5,6
15,0.5332,4,5,6
16,0.5334,4,5,6
17,0.5173,4,5,6
18,0.4967,4,5,6
19,0.4938,4,5,6
20,0.4953,4,5,6
21,0.4925,4,5,6
22,0.5091,4,5,6
23,0.5193,4,5,6
24,0.557,4,5,6
25,0.5926,4,5,6
26,0.592,4,5,6
27,0.532,4,5,6
28,0.5339,4,5,6
29,0.5283,4,5,6
