round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.5196,0,8,3
1,0.5585,0,13,3
2,0.6984,2,14,3
3,0.7249,2,14,3
4,0.7662,2,14,3
5,0.7754,2,14,3
6,0.7842,3,14,3
7,0.7872,3,14,3
8,0.7995,3,14,3
9,0.7967,3,14,3
10,0.814,3,14,3
11,0.8028,3,14,3
12,0.8098,3,14,3
13,0.8259,3,14,3
14,0.8165,3,14,3
15,0.8235,3,14,3
16,0.8263,3,14,3
17,0.8332,3,14,3
18,0.8306,3,14,3
19,0.8399,3,14,3
20,0.8409,3,14,3
21,0.8417,3,14,3
22,0.8497,3,14,3
23,0.8468,3,14,3
24,0.8515,3,14,3
25,0.8539,3,14,3
26,0.8545,3,14,3
27,0.8529,3,14,3
28,0.8613,3,14,3
29,0.8603,3,14,3
