round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1894,2,3,6
1,0.4757,6,3,6
2,0.6412,6,3,6
3,0.7183,6,3,6
4,0.7564,6,3,6
5,0.7743,6,3,6
6,0.7881,6,3,6
7,0.7982,6,3,6
8,0.8078,6,3,6
9,0.8111,6,3,6
10,0.8207,6,3,6
11,0.825,6,3,6
12,0.829,6,3,6
13,0.8272,6,3,6
14,0.8325,6,3,6
15,0.8348,6,3,6
16,0.8364,6,3,6
17,0.8414,6,3,6
18,0.8429,6,3,6
19,0.8389,6,3,6
20,0.8449,6,3,6
21,0.8449,6,3,6
22,0.8452,6,3,6
23,0.8452,6,3,6
24,0.8466,6,3,6
25,0.8503,6,3,6
26,0.851,6,3,6
27,0.8525,6,3,6
28,0.8531,6,3,6
29,0.8511,6,3,6
