round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1816,2,1,3
1,0.4871,3,1,3
2,0.6663,3,1,3
3,0.7296,3,1,3
4,0.7657,3,1,3
5,0.7845,3,1,3
6,0.7947,3,1,3
7,0.8065,3,1,3
8,0.8145,3,1,3
9,0.8212,3,1,3
10,0.8255,3,1,3
11,0.8284,3,1,3
12,0.8335,3,1,3
13,0.8337,3,1,3
14,0.8403,3,1,3
15,0.8413,3,1,3
16,0.846,3,1,3
17,0.8462,3,1,3
18,0.8479,3,1,3
19,0.8487,3,1,3
20,0.8501,3,1,3
21,0.8506,3,1,3
22,0.8518,3,1,3
23,0.8532,3,1,3
24,0.8504,3,8,3
25,0.8539,3,8,3
26,0.8559,3,8,3
27,0.8543,3,8,3
28,0.8557,3,8,3
29,0.8561,3,8,3
