round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1001,4,4,9
1,0.1002,6,5,9
2,0.2819,7,6,9
3,0.2537,7,8,9
4,0.2757,7,9,9
5,0.3084,9,11,9
6,0.3928,9,11,9
7,0.4882,9,15,9
8,0.5745,9,15,9
9,0.5828,9,15,9
10,0.6482,9,16,9
11,0.6727,9,16,9
12,0.6509,9,18,9
13,0.6511,9,18,9
14,0.6814,9,18,9
15,0.6597,9,18,9
16,0.734,9,18,9
17,0.6693,9,18,9
18,0.7221,9,18,9
19,0.7262,9,18,9
20,0.721,9,18,9
21,0.7242,9,18,9
22,0.7608,9,18,9
23,0.7165,9,18,9
24,0.7571,9,18,9
25,0.7357,9,18,9
26,0.7499,9,18,9
27,0.7327,9,18,9
28,0.7334,9,18,9
29,0.745,9,18,9
