round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.2733,1,7,6
1,0.5444,3,9,6
2,0.6702,5,9,6
3,0.6984,5,9,6
4,0.7259,5,9,6
5,0.7463,5,9,6
6,0.7293,5,9,6
7,0.7705,5,9,6
8,0.7742,5,9,6
9,0.786,5,9,6
10,0.7765,5,9,6
11,0.7877,5,9,6
12,0.7891,5,9,6
13,0.7985,5,9,6
14,0.8069,5,9,6
15,0.807,5,9,6
16,0.8165,5,9,6
17,0.8195,5,9,6
18,0.8269,5,9,6
19,0.8286,5,9,6
20,0.8301,5,9,6
21,0.8385,5,9,6
22,0.8387,5,9,6
23,0.8348,5,9,6
24,0.8507,5,9,6
25,0.8371,5,9,6
26,0.8491,5,9,6
27,0.8476,5,9,6
28,0.8546,5,9,6
29,0.8578,5,9,6
