round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1,0,5,3
1,0.2254,0,9,3
2,0.2374,0,9,3
3,0.2171,0,14,3
4,0.2903,1,15,3
5,0.3304,2,16,3
6,0.295,2,18,3
7,0.3417,2,20,3
8,0.3659,2,20,3
9,0.3732,2,20,3
10,0.3661,2,20,3
11,0.3862,2,20,3
12,0.3715,2,22,3
13,0.3777,2,22,3
14,0.3567,2,23,3
15,0.3531,2,23,3
16,0.3728,2,23,3
17,0.3469,2,23,3
18,0.3812,2,23,3
19,0.3759,2,23,3
20,0.384,2,23,3
21,0.3987,2,23,3
22,0.3974,2,23,3
23,0.3952,2,23,3
24,0.371,3,23,3
25,0.3971,3,23,3
26,0.3975,3,23,3
27,0.4095,3,23,3
28,0.3927,3,23,3
29,0.4162,3,23,3
