round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.2039,1,4,6
1,0.469,4,6,6
2,0.643,5,8,6
3,0.7139,5,8,6
4,0.7443,5,8,6
5,0.7603,5,8,6
6,0.7841,5,8,6
7,0.7922,5,8,6
8,0.7966,5,8,6
9,0.8077,5,8,6
10,0.8114,5,8,6
11,0.8139,5,8,6
12,0.8203,5,8,6
13,0.8186,5,8,6
14,0.8262,5,8,6
15,0.8268,5,8,6
16,0.8298,5,8,6
17,0.8341,5,8,6
18,0.834,5,8,6
19,0.8369,5,8,6
20,0.8341,5,8,6
21,0.8403,5,8,6
22,0.8387,5,8,6
23,0.8411,5,8,6
24,0.8413,5,8,6
25,0.843,5,8,6
26,0.8446,5,8,6
27,0.8451,5,8,6
28,0.8457,5,8,6
29,0.8462,5,8,6
