round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1,0,8,3
1,0.1,0,8,3
2,0.1452,2,8,3
3,0.1463,2,8,3
4,0.1696,2,8,3
5,0.1892,2,8,3
6,0.2231,2,8,3
7,0.2547,2,8,3
8,0.2726,2,8,3
9,0.284,2,8,3
10,0.2973,2,8,3
11,0.3035,2,8,3
12,0.3151,2,8,3
13,0.3476,2,8,3
14,0.3448,2,8,3
15,0.355,2,8,3
16,0.3782,2,8,3
17,0.3639,2,8,3
18,0.372,2,8,3
19,0.3892,2,8,3
20,0.3768,2,11,3
21,0.3902,2,11,3
22,0.3641,2,11,3
23,0.3956,2,11,3
24,0.3891,2,11,3
25,0.3867,2,11,3
26,0.4058,2,11,3
27,0.3967,2,11,3
28,0.3987,2,11,3
29,0.4064,2,11,3
