round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1674,1,5,9
1,0.2295,1,5,9
2,0.25,4,7,9
3,0.264,4,7,9
4,0.3104,4,7,9
5,0.3141,4,7,9
6,0.3378,4,7,9
7,0.3521,4,7,9
8,0.3809,5,9,9
9,0.3705,6,11,9
10,0.4137,6,11,9
11,0.394,6,11,9
12,0.4224,6,13,9
13,0.4145,6,13,9
14,0.4288,6,13,9
15,0.4345,6,13,9
16,0.4372,6,13,9
17,0.4256,6,13,9
18,0.4519,6,13,9
19,0.4313,6,13,9
20,0.4263,6,14,9
21,0.4726,7,14,9
22,0.4541,7,14,9
23,0.4736,7,14,9
24,0.4757,7,14,9
25,0.4892,7,14,9
26,0.4814,7,14,9
27,0.4932,7,14,9
28,0.5065,7,14,9
29,0.4842,7,14,9
