round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.0213,2,1,9
1,0.0213,3,4,9
2,0.0722,5,6,9
3,0.1063,7,7,9
4,0.138,7,7,9
5,0.0923,7,7,9
6,0.0348,7,7,9
7,0.1785,7,7,9
8,0.1041,7,7,9
9,0.0862,7,7,9
10,0.0816,7,7,9
11,0.0213,7,10,9
12,0.0213,7,10,9
13,0.0213,7,10,9
14,0.0213,7,10,9
15,0.0213,7,10,9
16,0.0213,7,10,9
17,0.0213,7,10,9
18,0.0213,7,10,9
19,0.0213,7,10,9
20,0.0213,7,10,9
21,0.0213,7,10,9
22,0.0213,7,10,9
23,0.0213,7,10,9
24,0.0213,7,10,9
25,0.0213,7,10,9
26,0.0213,7,10,9
27,0.0213,7,10,9
28,0.0213,7,10,9
29,0.0213,7,10,9
