round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1307,4,4,9
1,0.1718,5,7,9
2,0.1971,5,7,9
3,0.2388,5,8,9
4,0.2291,5,8,9
5,0.2748,5,8,9
6,0.2608,6,10,9
7,0.2957,6,10,9
8,0.3103,6,10,9
9,0.3273,6,10,9
10,0.3466,7,10,9
11,0.2976,8,13,9
12,0.3433,8,13,9
13,0.3556,8,13,9
14,0.3583,8,13,9
15,0.4225,9,14,9
16,0.433,9,14,9
17,0.4366,9,14,9
18,0.4522,9,15,9
19,0.4314,9,16,9
20,0.4372,9,16,9
21,0.4652,9,16,9
22,0.4641,9,16,9
23,0.4605,9,16,9
24,0.4758,9,16,9
25,0.4763,9,16,9
26,0.4782,9,16,9
27,0.4846,9,16,9
28,0.4956,9,16,9
29,0.4913,9,16,9
