round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1734,1,2,3
1,0.4473,3,6,3
2,0.6329,3,6,3
3,0.7125,3,6,3
4,0.7489,3,6,3
5,0.7724,3,6,3
6,0.7914,3,6,3
7,0.7998,3,6,3
8,0.8045,3,6,3
9,0.8105,3,6,3
10,0.8139,3,6,3
11,0.8207,3,6,3
12,0.8259,3,6,3
13,0.8286,3,6,3
14,0.8322,3,6,3
15,0.8309,3,6,3
16,0.8353,3,6,3
17,0.8393,3,6,3
18,0.8384,3,6,3
19,0.8417,3,6,3
20,0.8449,3,6,3
21,0.8457,3,6,3
22,0.8456,3,6,3
23,0.8466,3,6,3
24,0.8499,3,6,3
25,0.8501,3,6,3
26,0.8501,3,6,3
27,0.8507,3,6,3
28,0.8507,3,6,3
29,0.8528,3,6,3
