round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3591,0,5,3
1,0.4735,1,9,3
2,0.7012,1,9,3
3,0.7092,3,11,3
4,0.7437,3,11,3
5,0.7612,3,11,3
6,0.7596,3,11,3
7,0.7768,3,11,3
8,0.7704,3,11,3
9,0.7931,3,11,3
10,0.8024,3,11,3
11,0.8074,3,11,3
12,0.8116,3,11,3
13,0.817,3,11,3
14,0.8212,3,11,3
15,0.8243,3,11,3
16,0.8309,3,11,3
17,0.831,3,11,3
18,0.833,3,11,3
19,0.8375,3,11,3
20,0.8383,3,11,3
21,0.8452,3,11,3
22,0.8459,3,11,3
23,0.844,3,11,3
24,0.849,3,11,3
25,0.8475,3,11,3
26,0.8491,3,11,3
27,0.848,3,11,3
28,0.8559,3,11,3
29,0.8537,3,11,3
