round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.4314,0,8,3
1,0.6061,0,11,3
2,0.7227,2,13,3
3,0.7276,2,13,3
4,0.749,2,13,3
5,0.7686,2,13,3
6,0.7793,2,13,3
7,0.8011,2,13,3
8,0.7993,2,13,3
9,0.8168,2,13,3
10,0.8105,2,13,3
11,0.82,2,13,3
12,0.8298,2,13,3
13,0.8266,2,13,3
14,0.8381,2,13,3
15,0.8364,2,13,3
16,0.8436,2,13,3
17,0.8376,2,13,3
18,0.8502,2,13,3
19,0.8495,2,13,3
20,0.8413,2,13,3
21,0.8523,2,13,3
22,0.8526,2,13,3
23,0.8535,2,13,3
24,0.8566,2,13,3
25,0.8548,2,13,3
26,0.8607,2,13,3
27,0.8588,2,13,3
28,0.8612,2,13,3
29,0.865,2,13,3
