round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.2638,1,7,3
1,0.4247,2,9,3
2,0.4808,2,9,3
3,0.6058,2,9,3
4,0.7272,3,10,3
5,0.7485,3,10,3
6,0.7583,3,10,3
7,0.7719,3,10,3
8,0.772,3,10,3
9,0.7905,3,10,3
10,0.8103,3,10,3
11,0.8027,3,10,3
12,0.8154,3,10,3
13,0.8213,3,10,3
14,0.8151,3,10,3
15,0.832,3,10,3
16,0.8327,3,10,3
17,0.8324,3,10,3
18,0.8402,3,10,3
19,0.8426,3,10,3
20,0.8428,3,10,3
21,0.8456,3,10,3
22,0.8497,3,10,3
23,0.8485,3,10,3
24,0.8549,3,10,3
25,0.8572,3,10,3
26,0.8526,3,10,3
27,0.8597,3,10,3
28,0.8617,3,10,3
29,0.862,3,10,3
