round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3064,3,2,9
1,0.5289,6,4,9
2,0.6073,7,7,9
3,0.6412,7,9,9
4,0.6581,7,9,9
5,0.678,7,12,9
6,0.6893,7,12,9
7,0.7028,7,12,9
8,0.7371,7,12,9
9,0.589,7,12,9
10,0.7635,8,12,9
11,0.6474,8,14,9
12,0.7684,8,14,9
13,0.7836,9,15,9
14,0.782,9,15,9
15,0.7851,9,15,9
16,0.7847,9,15,9
17,0.7865,9,15,9
18,0.8002,9,15,9
19,0.8042,9,15,9
20,0.8052,9,15,9
21,0.8072,9,15,9
22,0.8171,9,15,9
23,0.8024,9,15,9
24,0.8324,9,15,9
25,0.817,9,15,9
26,0.8229,9,15,9
27,0.8233,9,15,9
28,0.8372,9,15,9
29,0.8363,9,15,9
