round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3563,2,6,3
1,0.6122,3,9,3
2,0.6611,3,12,3
3,0.7195,3,12,3
4,0.7124,3,12,3
5,0.7477,3,12,3
6,0.751,3,12,3
7,0.761,3,12,3
8,0.7747,3,14,3
9,0.7849,3,14,3
10,0.7931,3,14,3
11,0.8027,3,15,3
12,0.8,3,15,3
13,0.8092,3,15,3
14,0.8074,3,15,3
15,0.818,3,15,3
16,0.8197,3,15,3
17,0.8269,3,15,3
18,0.8267,3,15,3
19,0.8272,3,15,3
20,0.8284,3,15,3
21,0.8359,3,15,3
22,0.8391,3,15,3
23,0.8439,3,15,3
24,0.8432,3,15,3
25,0.842,3,15,3
26,0.8455,3,15,3
27,0.8448,3,15,3
28,0.8535,3,15,3
29,0.8457,3,15,3
