round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.206,2,3,9
1,0.4187,3,6,9
2,0.5845,6,9,9
3,0.6545,6,9,9
4,0.6872,6,9,9
5,0.712,6,9,9
6,0.7302,6,9,9
7,0.742,6,9,9
8,0.7557,6,9,9
9,0.7527,6,9,9
10,0.7722,6,9,9
11,0.7651,6,9,9
12,0.7864,6,9,9
13,0.7673,6,9,9
14,0.7912,6,9,9
15,0.7805,6,9,9
16,0.7998,7,11,9
17,0.7856,7,11,9
18,0.8029,7,11,9
19,0.7786,7,11,9
20,0.8091,7,11,9
21,0.7831,7,11,9
22,0.806,7,11,9
23,0.7966,7,11,9
24,0.8074,7,11,9
25,0.7974,7,11,9
26,0.8025,7,11,9
27,0.7924,7,11,9
28,0.8009,7,11,9
29,0.7926,7,11,9
