round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2626,9,9,0
1,0.3803,9,9,0
2,0.4874,9,9,0
3,0.5181,9,9,0
4,0.5426,9,9,0
5,0.5837,9,9,0
6,0.6024,9,9,0
7,0.6062,9,9,0
8,0.6111,9,9,0
9,0.6168,9,9,0
10,0.6172,9,9,0
11,0.619,9,9,0
12,0.6206,9,9,0
13,0.6199,9,9,0
14,0.6208,9,9,0
15,0.621,9,9,0
16,0.6204,9,9,0
17,0.6194,9,9,0
18,0.6198,9,9,0
19,0.62,9,9,0
20,0.6203,9,9,0
21,0.6193,9,9,0
22,0.6215,9,9,0
23,0.6254,9,9,0
24,0.6253,9,9,0
25,0.6335,9,9,0
26,0.6344,9,9,0
27,0.6387,9,9,0
28,0.6397,9,9,0
29,0.6412,9,9,0
30,0.6425,9,9,0
31,0.6425,9,9,0
32,0.6424,9,9,0
33,0.6428,9,9,0
34,0.6414,9,9,0
35,0.645,9,9,0
36,0.6454,9,9,0
37,0.6458,9,9,0
38,0.6434,9,9,0
39,0.6465,9,9,0
40,0.6448,9,9,0
41,0.6478,9,9,0
42,0.6486,9,9,0
43,0.6488,9,9,0
44,0.6496,9,9,0
45,0.649,9,9,0
46,0.6508,9,9,0
47,0.6516,9,9,0
48,0.6512,9,9,0
49,0.6523,9,9,0
