round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.23833733465141457,2.2660451999981888,0,0,4
1,0.4146307018782658,1.9847030000019004,0,0,4
2,0.44833592242150355,2.0538367000008293,0,0,4
3,0.5166878501153321,2.018482399998902,0,0,4
4,0.5740714588334981,2.0409894000003987,0,0,4
5,0.5648919644118062,2.1083278999976756,0,0,4
6,0.586875676693499,2.0884355999987747,0,0,4
7,0.5938426775879113,2.0561330000018643,0,0,4
8,0.6008096784823236,2.064893899998424,0,0,4
9,0.611260179823942,2.0485153000008722,0,0,4
10,0.62392317469284,1.9918728999982704,0,0,4
11,0.6211457892011486,2.0655905999992683,0,0,4
12,0.6243939179965164,2.03869929999928,0,0,4
13,0.6292425740243845,2.161757400001079,0,0,4
14,0.6304665066139434,2.029311800000869,0,0,4
15,0.6309372499176199,2.040275200000906,0,0,4
16,0.6303723579532081,2.0333842000000004,0,0,4
17,0.6309372499176199,2.057526799999323,0,0,4
18,0.6272654521489431,2.0465246999992814,0,0,4
19,0.6290542767029139,2.054738599999837,0,0,4
20,0.6316904392035023,2.099736899999698,0,0,4
21,0.6301840606317375,2.040177200000471,0,0,4
22,0.6296662429976934,2.0520551999979944,0,0,4
23,0.6324436284893847,2.0407639000004565,0,0,4
24,0.6291954996940169,2.0421096999998554,0,0,4
25,0.6398813726874735,2.0521762000025774,0,0,4
26,0.6389869604104882,2.1673171000002185,0,0,4
27,0.644259285411665,2.0369409000013547,0,0,4
28,0.6484018264840182,2.029884999999922,0,0,4
29,0.6492020901002683,2.049481999998534,0,0,4
30,0.6532034081815186,2.047644499998569,0,0,4
31,0.6434590217954149,2.033283600001596,0,0,4
32,0.6545685637621805,1.9678655999996408,0,0,4
33,0.6516028809490185,2.0299243000008573,0,0,4
34,0.6544273407710776,2.1470593999983976,0,0,4
35,0.6524502188956363,2.0701345000015863,0,0,4
36,0.6580991385397543,2.0650887999981933,0,0,5
37,0.6477898601892388,1.9890642000027583,0,0,5
38,0.649249164430636,1.9528184000009787,0,0,5
39,0.6474132655462976,1.9503856000010273,0,0,5
40,0.6425646095184296,1.9790131000008842,0,0,5
41,0.6507084686720331,1.9865051999986463,0,0,5
42,0.6407287106340912,2.08538899999985,0,0,5
43,0.6432707244739444,1.9843259000008402,0,0,5
44,0.641293602598503,1.969329800002015,0,0,5
45,0.6608765240314457,1.9811769000007189,0,0,5
46,0.653015110860048,1.9745143999971333,0,0,5
47,0.6615826389869605,1.9760953999975754,0,0,5
48,0.6572047262627689,1.980423000000883,0,0,5
49,0.6507555430024008,1.9739785000019765,0,0,5
