round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2425,3,3,0
1,0.3507,3,3,0
2,0.5454,3,3,0
3,0.5675,3,3,0
4,0.6011,3,3,0
5,0.5982,3,3,0
6,0.607,3,3,0
7,0.615,3,3,0
8,0.6182,3,3,0
9,0.6263,3,3,0
10,0.619,3,3,0
11,0.6182,3,3,0
12,0.6147,3,3,0
13,0.6182,3,3,0
14,0.6187,3,3,0
15,0.6163,3,3,0
16,0.6292,3,3,0
17,0.6165,3,3,0
18,0.627,3,3,0
19,0.6425,3,3,0
20,0.6475,3,3,0
21,0.6452,3,3,0
22,0.6468,3,3,0
23,0.6466,3,3,0
24,0.657,3,3,0
25,0.6576,3,3,0
26,0.6557,3,3,0
27,0.6619,3,3,0
28,0.6518,3,3,0
29,0.6622,3,3,0
30,0.65,3,3,0
31,0.6635,3,3,0
32,0.653,3,3,0
33,0.6667,3,3,0
34,0.6555,3,3,0
35,0.656,3,3,0
36,0.6587,3,3,0
37,0.6681,3,3,0
38,0.655,3,3,0
39,0.6641,3,3,0
40,0.6512,3,3,0
41,0.6647,3,3,0
42,0.6591,3,3,0
43,0.6621,3,3,0
44,0.664,3,3,0
45,0.6641,3,3,0
46,0.6645,3,3,0
47,0.6649,3,3,0
48,0.6607,3,3,0
49,0.6684,3,3,0
