round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2823,6,6,0
1,0.3826,6,6,0
2,0.5196,6,6,0
3,0.5545,6,6,0
4,0.5752,6,6,0
5,0.5908,6,6,0
6,0.5959,6,6,0
7,0.603,6,6,0
8,0.6163,6,6,0
9,0.618,6,6,0
10,0.6181,6,6,0
11,0.6258,6,6,0
12,0.6209,6,6,0
13,0.6304,6,6,0
14,0.6265,6,6,0
15,0.6365,6,6,0
16,0.6382,6,6,0
17,0.6351,6,6,0
18,0.6488,6,6,0
19,0.6385,6,6,0
20,0.644,6,6,0
21,0.6355,6,6,0
22,0.6524,6,6,0
23,0.6515,6,6,0
24,0.6502,6,6,0
25,0.6475,6,6,0
26,0.6551,6,6,0
27,0.6533,6,6,0
28,0.6604,6,6,0
29,0.6594,6,6,0
30,0.646,6,6,0
31,0.6661,6,6,0
32,0.6466,6,6,0
33,0.6446,6,6,0
34,0.6708,6,6,0
35,0.6705,6,6,0
36,0.6759,6,6,0
37,0.6484,6,6,0
38,0.6806,6,6,0
39,0.683,6,6,0
40,0.6816,6,6,0
41,0.6843,6,6,0
42,0.6498,6,6,0
43,0.6854,6,6,0
44,0.6867,6,6,0
45,0.691,6,6,0
46,0.6849,6,6,0
47,0.6942,6,6,0
48,0.6918,6,6,0
49,0.6759,6,6,0
