round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.3619,6,6,0
1,0.4015,6,6,0
2,0.4288,6,6,0
3,0.4608,6,6,0
4,0.5695,6,6,0
5,0.5791,6,6,0
6,0.599,6,6,0
7,0.6117,6,6,0
8,0.6084,6,6,0
9,0.6178,6,6,0
10,0.6167,6,6,0
11,0.6143,6,6,0
12,0.6206,6,6,0
13,0.6217,6,6,0
14,0.6243,6,6,0
15,0.6264,6,6,0
16,0.625,6,6,0
17,0.6308,6,6,0
18,0.6283,6,6,0
19,0.631,6,6,0
20,0.6304,6,6,0
21,0.6323,6,6,0
22,0.6409,6,6,0
23,0.6387,6,6,0
24,0.6393,6,6,0
25,0.641,6,6,0
26,0.6436,6,6,0
27,0.6441,6,6,0
28,0.645,6,6,0
29,0.6469,6,6,0
30,0.6468,6,6,0
31,0.6472,6,6,0
32,0.6465,6,6,0
33,0.6475,6,6,0
34,0.6473,6,6,0
35,0.6479,6,6,0
36,0.647,6,6,0
37,0.649,6,6,0
38,0.648,6,6,0
39,0.6488,6,6,0
40,0.6516,6,6,0
41,0.6476,6,6,0
42,0.6529,6,6,0
43,0.6528,6,6,0
44,0.6527,6,6,0
45,0.6568,6,6,0
46,0.6562,6,6,0
47,0.6549,6,6,0
48,0.6611,6,6,0
49,0.6594,6,6,0
