round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.3015,9,9,0
1,0.3732,9,9,0
2,0.4659,9,9,0
3,0.4965,9,9,0
4,0.5436,9,9,0
5,0.5717,9,9,0
6,0.5937,9,9,0
7,0.5979,9,9,0
8,0.608,9,9,0
9,0.6008,9,9,0
10,0.6095,9,9,0
11,0.609,9,9,0
12,0.616,9,9,0
13,0.6152,9,9,0
14,0.6161,9,9,0
15,0.6246,9,9,0
16,0.6208,9,9,0
17,0.6319,9,9,0
18,0.6331,9,9,0
19,0.6419,9,9,0
20,0.6418,9,9,0
21,0.642,9,9,0
22,0.6428,9,9,0
23,0.6414,9,9,0
24,0.6422,9,9,0
25,0.643,9,9,0
26,0.6415,9,9,0
27,0.6433,9,9,0
28,0.6431,9,9,0
29,0.642,9,9,0
30,0.6434,9,9,0
31,0.6426,9,9,0
32,0.6438,9,9,0
33,0.6432,9,9,0
34,0.6461,9,9,0
35,0.6476,9,9,0
36,0.6459,9,9,0
37,0.6485,9,9,0
38,0.6485,9,9,0
39,0.6544,9,9,0
40,0.6515,9,9,0
41,0.6536,9,9,0
42,0.6525,9,9,0
43,0.6536,9,9,0
44,0.6555,9,9,0
45,0.6538,9,9,0
46,0.6527,9,9,0
47,0.6532,9,9,0
48,0.6557,9,9,0
49,0.6544,9,9,0
