round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.334,3,3,0
1,0.4394,3,3,0
2,0.4889,3,3,0
3,0.5573,3,3,0
4,0.5821,3,3,0
5,0.5859,3,3,0
6,0.6023,3,3,0
7,0.6026,3,3,0
8,0.608,3,3,0
9,0.6103,3,3,0
10,0.6112,3,3,0
11,0.616,3,3,0
12,0.6155,3,3,0
13,0.6191,3,3,0
14,0.6248,3,3,0
15,0.6248,3,3,0
16,0.6299,3,3,0
17,0.6299,3,3,0
18,0.6303,3,3,0
19,0.6312,3,3,0
20,0.6396,3,3,0
21,0.6436,3,3,0
22,0.6423,3,3,0
23,0.6444,3,3,0
24,0.6471,3,3,0
25,0.6476,3,3,0
26,0.6474,3,3,0
27,0.6489,3,3,0
28,0.6488,3,3,0
29,0.6492,3,3,0
30,0.6511,3,3,0
31,0.6512,3,3,0
32,0.6551,3,3,0
33,0.658,3,3,0
34,0.6625,3,3,0
35,0.6547,3,3,0
36,0.6639,3,3,0
37,0.6619,3,3,0
38,0.6644,3,3,0
39,0.6606,3,3,0
40,0.6647,3,3,0
41,0.6634,3,3,0
42,0.6658,3,3,0
43,0.6683,3,3,0
44,0.6654,3,3,0
45,0.6676,3,3,0
46,0.6704,3,3,0
47,0.6669,3,3,0
48,0.6713,3,3,0
49,0.6615,3,3,0
