round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2867,3,3,0
1,0.3358,3,3,0
2,0.4353,3,3,0
3,0.5131,3,3,0
4,0.5576,3,3,0
5,0.5888,3,3,0
6,0.5849,3,3,0
7,0.5949,3,3,0
8,0.5961,3,3,0
9,0.5948,3,3,0
10,0.6035,3,3,0
11,0.6042,3,3,0
12,0.6056,3,3,0
13,0.6078,3,3,0
14,0.6129,3,3,0
15,0.6121,3,3,0
16,0.6172,3,3,0
17,0.6149,3,3,0
18,0.6183,3,3,0
19,0.6289,3,3,0
20,0.6283,3,3,0
21,0.6317,3,3,0
22,0.6344,3,3,0
23,0.6343,3,3,0
24,0.6426,3,3,0
25,0.6412,3,3,0
26,0.6429,3,3,0
27,0.6446,3,3,0
28,0.6477,3,3,0
29,0.6487,3,3,0
30,0.6455,3,3,0
31,0.6478,3,3,0
32,0.6464,3,3,0
33,0.6476,3,3,0
34,0.6456,3,3,0
35,0.6471,3,3,0
36,0.6502,3,3,0
37,0.6458,3,3,0
38,0.6493,3,3,0
39,0.6509,3,3,0
40,0.6504,3,3,0
41,0.6488,3,3,0
42,0.6516,3,3,0
43,0.6502,3,3,0
44,0.6504,3,3,0
45,0.6504,3,3,0
46,0.6534,3,3,0
47,0.6525,3,3,0
48,0.6598,3,3,0
49,0.6592,3,3,0
