round,acc,t_round_s,n_malicious
0,0.1790707527185426,3.59221826699968,9
1,0.373252365485101,3.5351039899996977,9
2,0.4410864755448854,3.6281889689998934,9
3,0.5088264369439345,3.7813433889996304,9
4,0.5181000800263617,3.6401559740002085,9
5,0.5354705079320247,3.0697236790001625,9
6,0.5727533775832039,3.2789814970001316,9
7,0.5775078849503366,4.226447056000325,9
8,0.5815562773619545,3.4894353239997145,9
9,0.5871581226757049,4.238289625000107,9
10,0.5899825824977639,3.5913926220000576,9
11,0.59346608294497,3.2990491829996245,9
12,0.5960080967848232,3.49516167999991,9
13,0.5958197994633526,3.7214420740001515,9
14,0.5980322929906322,4.012860222999734,9
15,0.6020806854022501,3.364505017999363,9
16,0.6010450501341619,3.403828290999627,9
17,0.6016570164289413,3.7382651490006538,9
18,0.6008567528126912,3.3313582769997083,9
19,0.6035399896436473,3.112411066000277,9
20,0.6029280233488679,3.181311678000384,9
21,0.6083886456715153,3.251624317000278,9
22,0.6054700371887209,3.668920328999775,9
23,0.6132843760297509,3.3888122600001225,9
24,0.6127194840653392,3.1757248470003105,9
25,0.6124370380831333,4.053457517000425,9
26,0.6183684037094572,3.2659060019996105,9
27,0.6178976604057808,3.8517805640003644,9
28,0.6194981876382808,3.44709451000017,9
29,0.6201101539330603,3.7850230180001745,9
30,0.6202984512545309,3.5952452040000935,9
31,0.6233582827284282,3.274877595000362,9
32,0.623781951701737,3.284737918999781,9
33,0.6238761003624723,3.6538719240006685,9
34,0.6230758367462222,3.231021673000214,9
35,0.6233112083980605,3.3764580879997084,9
36,0.6225109447818105,4.286003021999932,9
37,0.6235465800498988,3.215453852999417,9
38,0.6313138445605612,3.7057219389998863,9
39,0.6326319258108554,3.480575401999886,9
40,0.6311255472390905,3.186892441999589,9
41,0.6321611825071788,3.4756366729998263,9
42,0.6328202231323259,3.4339227230002507,9
43,0.6323494798286494,3.9942212360001577,9
44,0.6336675610789436,4.170242201000292,9
45,0.6319728851857083,3.332801687999563,9
46,0.6330555947841642,4.230100063999998,9
47,0.6332438921056348,3.9166281179996076,9
48,0.6384220684460764,3.8422268000003896,9
49,0.6323494798286494,3.4402887420001207,9
