round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.1512,6,6,0
1,0.3023,6,6,0
2,0.4812,6,6,0
3,0.5208,6,6,0
4,0.5599,6,6,0
5,0.5994,6,6,0
6,0.6083,6,6,0
7,0.6162,6,6,0
8,0.6094,6,6,0
9,0.6093,6,6,0
10,0.6114,6,6,0
11,0.6114,6,6,0
12,0.6144,6,6,0
13,0.613,6,6,0
14,0.6133,6,6,0
15,0.6132,6,6,0
16,0.6138,6,6,0
17,0.6147,6,6,0
18,0.6168,6,6,0
19,0.6154,6,6,0
20,0.616,6,6,0
21,0.6169,6,6,0
22,0.6274,6,6,0
23,0.6253,6,6,0
24,0.6262,6,6,0
25,0.6295,6,6,0
26,0.6316,6,6,0
27,0.6329,6,6,0
28,0.6324,6,6,0
29,0.6403,6,6,0
30,0.6393,6,6,0
31,0.6376,6,6,0
32,0.659,6,6,0
33,0.6446,6,6,0
34,0.64,6,6,0
35,0.6624,6,6,0
36,0.6528,6,6,0
37,0.6637,6,6,0
38,0.6641,6,6,0
39,0.6595,6,6,0
40,0.6644,6,6,0
41,0.6574,6,6,0
42,0.6641,6,6,0
43,0.666,6,6,0
44,0.6667,6,6,0
45,0.6655,6,6,0
46,0.6688,6,6,0
47,0.6718,6,6,0
48,0.6624,6,6,0
49,0.6734,6,6,0
