round,acc,t_round_s,n_malicious
0,0.02127659574468085,47.25163809998776,9
1,0.02127659574468085,47.381840399990324,9
2,0.02127659574468085,48.28820270000142,9
3,0.02127659574468085,47.065309600002365,9
4,0.02127659574468085,47.02057269999932,9
5,0.02127659574468085,46.282217799991486,9
6,0.02127659574468085,46.41385700000683,9
7,0.02127659574468085,46.98005640000338,9
8,0.02127659574468085,46.036299699990195,9
9,0.02127659574468085,45.57740369999374,9
10,0.02127659574468085,46.12560879999364,9
11,0.02127659574468085,46.11994720000075,9
12,0.02127659574468085,46.42833260000043,9
13,0.02127659574468085,46.25714260000677,9
14,0.02127659574468085,46.49320050000097,9
15,0.02127659574468085,46.254804900003364,9
16,0.02127659574468085,46.68287770000461,9
17,0.02127659574468085,46.655150499995216,9
18,0.02127659574468085,46.146223899995675,9
19,0.02127659574468085,46.60685930000909,9
20,0.02127659574468085,46.68299250000564,9
21,0.02127659574468085,45.97641059999296,9
22,0.02127659574468085,45.82942680000269,9
23,0.02127659574468085,46.213381099994876,9
24,0.02127659574468085,46.437046799997916,9
25,0.02127659574468085,46.24927939999907,9
26,0.02127659574468085,46.20228199999838,9
27,0.02127659574468085,46.37545490000048,9
28,0.02127659574468085,46.297294899995904,9
29,0.02127659574468085,46.31121189999976,9
