round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2465,6,6,0
1,0.5316,6,6,0
2,0.6698,6,6,0
3,0.7306,6,6,0
4,0.7585,6,6,0
5,0.7747,6,6,0
6,0.786,6,6,0
7,0.7998,6,6,0
8,0.8059,6,6,0
9,0.8133,6,6,0
10,0.8155,6,6,0
11,0.8202,6,6,0
12,0.8255,6,6,0
13,0.8323,6,6,0
14,0.8345,6,6,0
15,0.8379,6,6,0
16,0.838,6,6,0
17,0.8413,6,6,0
18,0.8387,6,6,0
19,0.8448,6,6,0
20,0.8477,6,6,0
21,0.8466,6,6,0
22,0.8496,6,6,0
23,0.8521,6,6,0
24,0.8507,6,6,0
25,0.8518,6,6,0
26,0.8526,6,6,0
27,0.8551,6,6,0
28,0.856,6,6,0
29,0.8572,6,6,0
30,0.8568,6,6,0
31,0.856,6,6,0
32,0.8547,6,6,0
33,0.8609,6,6,0
34,0.8568,6,6,0
35,0.8621,6,6,0
36,0.8578,6,6,0
37,0.8598,6,6,0
38,0.8613,6,6,0
39,0.8639,6,6,0
40,0.8618,6,6,0
41,0.8627,6,6,0
42,0.8651,6,6,0
43,0.862,6,6,0
44,0.863,6,6,0
45,0.8657,6,6,0
46,0.8637,6,6,0
47,0.8662,6,6,0
48,0.8661,6,6,0
49,0.8655,6,6,0
