round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2227,3,3,0
1,0.5105,3,3,0
2,0.6652,3,3,0
3,0.7347,3,3,0
4,0.7675,3,3,0
5,0.7837,3,3,0
6,0.8003,3,3,0
7,0.8083,3,3,0
8,0.814,3,3,0
9,0.8203,3,3,0
10,0.8261,3,3,0
11,0.8304,3,3,0
12,0.8339,3,3,0
13,0.8361,3,3,0
14,0.8393,3,3,0
15,0.8424,3,3,0
16,0.8447,3,3,0
17,0.844,3,3,0
18,0.8479,3,3,0
19,0.8505,3,3,0
20,0.8508,3,3,0
21,0.8517,3,3,0
22,0.8553,3,3,0
23,0.8548,3,3,0
24,0.856,3,3,0
25,0.8542,3,3,0
26,0.8584,3,3,0
27,0.8584,3,3,0
28,0.8598,3,3,0
29,0.8595,3,3,0
30,0.8625,3,3,0
31,0.8611,3,3,0
32,0.8622,3,3,0
33,0.8635,3,3,0
34,0.8634,3,3,0
35,0.8651,3,3,0
36,0.8657,3,3,0
37,0.8654,3,3,0
38,0.8646,3,3,0
39,0.8644,3,3,0
40,0.8662,3,3,0
41,0.8669,3,3,0
42,0.8683,3,3,0
43,0.8668,3,3,0
44,0.8663,3,3,0
45,0.8686,3,3,0
46,0.8682,3,3,0
47,0.8693,3,3,0
48,0.8676,3,3,0
49,0.8695,3,3,0
