round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2653,3,3,0
1,0.5245,3,3,0
2,0.6615,3,3,0
3,0.722,3,3,0
4,0.757,3,3,0
5,0.776,3,3,0
6,0.7906,3,3,0
7,0.8025,3,3,0
8,0.8102,3,3,0
9,0.8154,3,3,0
10,0.823,3,3,0
11,0.8251,3,3,0
12,0.8272,3,3,0
13,0.8313,3,3,0
14,0.8348,3,3,0
15,0.8367,3,3,0
16,0.84,3,3,0
17,0.8412,3,3,0
18,0.8423,3,3,0
19,0.8449,3,3,0
20,0.8471,3,3,0
21,0.848,3,3,0
22,0.8493,3,3,0
23,0.8485,3,3,0
24,0.8534,3,3,0
25,0.8535,3,3,0
26,0.8519,3,3,0
27,0.8534,3,3,0
28,0.8553,3,3,0
29,0.8569,3,3,0
30,0.8582,3,3,0
31,0.8574,3,3,0
32,0.8591,3,3,0
33,0.8596,3,3,0
34,0.8598,3,3,0
35,0.8606,3,3,0
36,0.8621,3,3,0
37,0.8619,3,3,0
38,0.8629,3,3,0
39,0.864,3,3,0
40,0.8627,3,3,0
41,0.8646,3,3,0
42,0.8646,3,3,0
43,0.8649,3,3,0
44,0.8646,3,3,0
45,0.8664,3,3,0
46,0.8664,3,3,0
47,0.8664,3,3,0
48,0.866,3,3,0
49,0.8673,3,3,0
