round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2207,6,6,0
1,0.513,6,6,0
2,0.6604,6,6,0
3,0.7177,6,6,0
4,0.75,6,6,0
5,0.7719,6,6,0
6,0.7873,6,6,0
7,0.8003,6,6,0
8,0.8073,6,6,0
9,0.8104,6,6,0
10,0.8142,6,6,0
11,0.8217,6,6,0
12,0.8286,6,6,0
13,0.8323,6,6,0
14,0.8309,6,6,0
15,0.8363,6,6,0
16,0.8387,6,6,0
17,0.8386,6,6,0
18,0.8432,6,6,0
19,0.8432,6,6,0
20,0.8439,6,6,0
21,0.844,6,6,0
22,0.8479,6,6,0
23,0.8491,6,6,0
24,0.8495,6,6,0
25,0.8507,6,6,0
26,0.851,6,6,0
27,0.8509,6,6,0
28,0.8532,6,6,0
29,0.8547,6,6,0
30,0.8544,6,6,0
31,0.8547,6,6,0
32,0.8554,6,6,0
33,0.8566,6,6,0
34,0.8562,6,6,0
35,0.8588,6,6,0
36,0.8571,6,6,0
37,0.8573,6,6,0
38,0.8595,6,6,0
39,0.8594,6,6,0
40,0.8598,6,6,0
41,0.8598,6,6,0
42,0.8607,6,6,0
43,0.8611,6,6,0
44,0.8631,6,6,0
45,0.8639,6,6,0
46,0.8629,6,6,0
47,0.8624,6,6,0
48,0.8627,6,6,0
49,0.8638,6,6,0
