round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2562,9,9,0
1,0.4996,9,9,0
2,0.6591,9,9,0
3,0.7229,9,9,0
4,0.7529,9,9,0
5,0.7786,9,9,0
6,0.7908,9,9,0
7,0.8012,9,9,0
8,0.8088,9,9,0
9,0.8171,9,9,0
10,0.8195,9,9,0
11,0.824,9,9,0
12,0.8287,9,9,0
13,0.8327,9,9,0
14,0.8326,9,9,0
15,0.8366,9,9,0
16,0.8393,9,9,0
17,0.8409,9,9,0
18,0.8435,9,9,0
19,0.8439,9,9,0
20,0.8468,9,9,0
21,0.8466,9,9,0
22,0.8482,9,9,0
23,0.8483,9,9,0
24,0.849,9,9,0
25,0.8495,9,9,0
26,0.85,9,9,0
27,0.8513,9,9,0
28,0.8527,9,9,0
29,0.8534,9,9,0
30,0.8556,9,9,0
31,0.8547,9,9,0
32,0.8549,9,9,0
33,0.8565,9,9,0
34,0.8569,9,9,0
35,0.8565,9,9,0
36,0.8563,9,9,0
37,0.8577,9,9,0
38,0.859,9,9,0
39,0.8576,9,9,0
40,0.8601,9,9,0
41,0.86,9,9,0
42,0.8582,9,9,0
43,0.8606,9,9,0
44,0.8602,9,9,0
45,0.8593,9,9,0
46,0.8606,9,9,0
47,0.8616,9,9,0
48,0.8607,9,9,0
49,0.8615,9,9,0
