round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,asr
0,0.24430851063829787,9.515538200000037,3,0,0,0.15288043478260868
1,0.5347340425531915,9.319687999999928,3,0,0,0.04858695652173913
2,0.6819148936170213,9.104866700000002,3,0,0,0.042554347826086955
3,0.7393617021276596,9.095281800000066,3,0,0,0.041467391304347824
4,0.7657978723404255,9.385968599999956,3,0,1,0.042065217391304345
5,0.7854255319148936,8.915794199999937,3,0,1,0.07
6,0.7972872340425532,8.912928799999918,3,0,1,0.11293478260869565
7,0.8077127659574468,9.09920790000001,3,0,1,0.14505434782608695
8,0.8140425531914893,8.962132300000007,3,0,1,0.2236413043478261
9,0.8166489361702127,8.870342599999958,3,0,1,0.37369565217391304
10,0.8236702127659574,8.906126900000004,3,0,1,0.42978260869565216
11,0.8306382978723404,8.97254200000009,3,0,1,0.5691847826086956
12,0.8323404255319149,8.9249595,3,0,1,0.6591304347826087
13,0.8359042553191489,8.701498899999933,3,0,1,0.7789673913043478
14,0.8398404255319148,8.769469399999934,3,0,1,0.8302717391304347
15,0.8421808510638298,8.918784099999925,3,0,1,0.8711413043478261
16,0.8443617021276596,8.978268299999968,3,0,1,0.8789130434782608
17,0.8483510638297872,8.811489700000038,3,0,1,0.903804347826087
18,0.8465425531914894,8.797882999999956,3,0,1,0.9108152173913043
19,0.8491489361702128,8.912986299999943,3,0,1,0.9296195652173913
20,0.8497872340425532,9.000108100000034,3,0,1,0.9320652173913043
21,0.8507978723404256,8.894765399999983,3,0,1,0.9532608695652174
22,0.8525531914893617,8.775014299999953,3,0,1,0.9510869565217391
23,0.8547872340425532,8.924542200000019,3,0,1,0.9510326086956522
24,0.8545212765957447,9.050104799999986,3,0,1,0.958858695652174
25,0.8570212765957447,8.875015899999994,3,0,1,0.96375
26,0.8573936170212766,8.834229999999934,3,0,1,0.9617934782608696
27,0.8602659574468086,7.947350300000039,3,0,1,0.9514673913043479
28,0.8606382978723405,7.182533699999908,3,0,1,0.9633152173913043
29,0.8600531914893617,7.21095349999996,3,0,1,0.971304347826087
30,0.8611170212765957,8.963820899999973,3,0,1,0.9727717391304348
31,0.8631914893617021,9.067310700000007,3,0,1,0.9725
32,0.8623936170212766,9.097616399999993,3,0,1,0.9776630434782608
33,0.8627659574468085,9.079518700000108,3,0,1,0.9764130434782609
34,0.8641489361702127,9.008964300000002,3,0,1,0.9790760869565217
35,0.8654255319148936,9.06384300000002,3,0,1,0.983804347826087
36,0.8639893617021277,9.066168300000072,3,0,1,0.9853260869565217
37,0.8658510638297873,9.061704299999974,3,0,1,0.9865217391304347
38,0.8660638297872341,9.066980400000034,3,0,1,0.9896195652173913
39,0.8662234042553192,9.084503299999938,3,0,1,0.9890760869565217
40,0.8670744680851064,9.075521799999933,3,0,1,0.9914673913043478
41,0.8667553191489362,9.109501099999989,3,0,1,0.9900543478260869
42,0.8681382978723404,9.064441500000044,3,0,1,0.991195652173913
43,0.867872340425532,9.08292670000003,3,0,1,0.9911413043478261
44,0.8674468085106383,9.074246299999913,3,0,1,0.9909239130434783
45,0.8692021276595745,9.118233099999998,3,0,1,0.9916304347826087
46,0.8693085106382978,9.105060200000025,3,0,1,0.9913586956521739
47,0.8686702127659575,9.0734463,3,0,1,0.9930434782608696
48,0.8707978723404255,9.06367499999999,3,0,1,0.9927717391304348
49,0.8707446808510638,9.05208689999995,3,0,1,0.9944021739130435
