round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2702,9,9,0
1,0.5387,9,9,0
2,0.6738,9,9,0
3,0.7331,9,9,0
4,0.7621,9,9,0
5,0.7789,9,9,0
6,0.791,9,9,0
7,0.7997,9,9,0
8,0.8132,9,9,0
9,0.8133,9,9,0
10,0.8184,9,9,0
11,0.8249,9,9,0
12,0.8268,9,9,0
13,0.8309,9,9,0
14,0.8332,9,9,0
15,0.8393,9,9,0
16,0.8378,9,9,0
17,0.8403,9,9,0
18,0.8399,9,9,0
19,0.8439,9,9,0
20,0.8462,9,9,0
21,0.846,9,9,0
22,0.8505,9,9,0
23,0.8485,9,9,0
24,0.8522,9,9,0
25,0.8539,9,9,0
26,0.8549,9,9,0
27,0.8545,9,9,0
28,0.8557,9,9,0
29,0.8567,9,9,0
30,0.858,9,9,0
31,0.8569,9,9,0
32,0.8591,9,9,0
33,0.8604,9,9,0
34,0.8584,9,9,0
35,0.8616,9,9,0
36,0.8585,9,9,0
37,0.8595,9,9,0
38,0.861,9,9,0
39,0.8606,9,9,0
40,0.8611,9,9,0
41,0.8616,9,9,0
42,0.8621,9,9,0
43,0.8641,9,9,0
44,0.863,9,9,0
45,0.8637,9,9,0
46,0.8649,9,9,0
47,0.8657,9,9,0
48,0.8615,9,9,0
49,0.8662,9,9,0
