round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2459,9,9,0
1,0.4951,9,9,0
2,0.6546,9,9,0
3,0.7168,9,9,0
4,0.7548,9,9,0
5,0.7806,9,9,0
6,0.7938,9,9,0
7,0.8013,9,9,0
8,0.8132,9,9,0
9,0.8154,9,9,0
10,0.8213,9,9,0
11,0.8255,9,9,0
12,0.8276,9,9,0
13,0.8326,9,9,0
14,0.8357,9,9,0
15,0.8376,9,9,0
16,0.8399,9,9,0
17,0.8406,9,9,0
18,0.8432,9,9,0
19,0.8458,9,9,0
20,0.847,9,9,0
21,0.8491,9,9,0
22,0.8487,9,9,0
23,0.8508,9,9,0
24,0.8525,9,9,0
25,0.8498,9,9,0
26,0.8547,9,9,0
27,0.8555,9,9,0
28,0.8558,9,9,0
29,0.8561,9,9,0
30,0.8568,9,9,0
31,0.8579,9,9,0
32,0.8567,9,9,0
33,0.8572,9,9,0
34,0.8587,9,9,0
35,0.8602,9,9,0
36,0.862,9,9,0
37,0.8621,9,9,0
38,0.8619,9,9,0
39,0.8629,9,9,0
40,0.863,9,9,0
41,0.8636,9,9,0
42,0.8627,9,9,0
43,0.8645,9,9,0
44,0.8647,9,9,0
45,0.864,9,9,0
46,0.8654,9,9,0
47,0.8647,9,9,0
48,0.8663,9,9,0
49,0.8674,9,9,0
