round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.1979,6,6,0
1,0.4849,6,6,0
2,0.6476,6,6,0
3,0.7202,6,6,0
4,0.7567,6,6,0
5,0.7752,6,6,0
6,0.79,6,6,0
7,0.8026,6,6,0
8,0.8088,6,6,0
9,0.8167,6,6,0
10,0.8235,6,6,0
11,0.8223,6,6,0
12,0.8313,6,6,0
13,0.8323,6,6,0
14,0.837,6,6,0
15,0.8388,6,6,0
16,0.8424,6,6,0
17,0.8388,6,6,0
18,0.8439,6,6,0
19,0.8449,6,6,0
20,0.8449,6,6,0
21,0.8476,6,6,0
22,0.8477,6,6,0
23,0.8504,6,6,0
24,0.8514,6,6,0
25,0.8536,6,6,0
26,0.856,6,6,0
27,0.8543,6,6,0
28,0.8531,6,6,0
29,0.8566,6,6,0
30,0.8563,6,6,0
31,0.8577,6,6,0
32,0.8593,6,6,0
33,0.8593,6,6,0
34,0.8609,6,6,0
35,0.8604,6,6,0
36,0.8598,6,6,0
37,0.8614,6,6,0
38,0.8631,6,6,0
39,0.8625,6,6,0
40,0.8642,6,6,0
41,0.8629,6,6,0
42,0.863,6,6,0
43,0.8645,6,6,0
44,0.8631,6,6,0
45,0.867,6,6,0
46,0.8664,6,6,0
47,0.8655,6,6,0
48,0.8665,6,6,0
49,0.8654,6,6,0
