round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3086,2,3,3
1,0.4246,2,3,3
2,0.473,2,3,3
3,0.5408,2,3,3
4,0.5718,2,3,3
5,0.5722,2,3,3
6,0.5822,2,3,3
7,0.5746,2,7,3
8,0.5828,2,12,3
9,0.5895,3,16,3
10,0.5904,3,16,3
11,0.6011,3,16,3
12,0.605,3,16,3
13,0.6074,3,16,3
14,0.6034,3,16,3
15,0.6034,3,16,3
16,0.6073,3,16,3
17,0.6137,3,16,3
18,0.6039,3,17,3
19,0.6129,3,17,3
20,0.6112,3,18,3
21,0.6097,3,18,3
22,0.6115,3,18,3
23,0.6103,3,18,3
24,0.6081,3,18,3
25,0.6138,3,18,3
26,0.6101,3,20,3
27,0.613,3,20,3
28,0.6086,3,20,3
29,0.6173,3,20,3
30,0.6107,3,20,3
31,0.6143,3,20,3
32,0.6127,3,20,3
33,0.6112,3,20,3
34,0.6139,3,20,3
35,0.6168,3,20,3
36,0.6136,3,20,3
37,0.6153,3,20,3
38,0.618,3,20,3
39,0.613,3,20,3
40,0.6192,3,20,3
41,0.6163,3,20,3
42,0.6164,3,20,3
43,0.6163,3,20,3
44,0.6162,3,20,3
45,0.6152,3,20,3
46,0.615,3,20,3
47,0.6153,3,20,3
48,0.6159,3,20,3
49,0.6167,3,20,3
