round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.2025,0,8,3
1,0.469,2,8,3
2,0.6468,2,8,3
3,0.7234,3,9,3
4,0.746,3,12,3
5,0.772,3,12,3
6,0.793,3,12,3
7,0.8009,3,12,3
8,0.8089,3,12,3
9,0.8174,3,12,3
10,0.8191,3,12,3
11,0.8257,3,12,3
12,0.8281,3,12,3
13,0.8279,3,12,3
14,0.8271,3,12,3
15,0.8333,3,12,3
16,0.8322,3,12,3
17,0.8349,3,12,3
18,0.8406,3,12,3
19,0.8364,3,12,3
20,0.8446,3,12,3
21,0.844,3,12,3
22,0.8442,3,12,3
23,0.8474,3,12,3
24,0.8448,3,12,3
25,0.8439,3,12,3
26,0.8456,3,12,3
27,0.847,3,12,3
28,0.8493,3,12,3
29,0.8527,3,12,3
30,0.8474,3,12,3
31,0.8515,3,12,3
32,0.8513,3,12,3
33,0.8543,3,12,3
34,0.8523,3,12,3
35,0.8556,3,12,3
36,0.8542,3,12,3
37,0.8552,3,12,3
38,0.8528,3,12,3
39,0.8569,3,12,3
40,0.8564,3,12,3
41,0.8571,3,12,3
42,0.8537,3,12,3
43,0.8572,3,12,3
44,0.8582,3,12,3
45,0.8569,3,12,3
46,0.8565,3,12,3
47,0.8578,3,12,3
48,0.8578,3,12,3
49,0.8592,3,12,3
