round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3915,1,7,6
1,0.5075,3,9,6
2,0.557,4,9,6
3,0.5597,6,9,6
4,0.58,6,9,6
5,0.5896,6,9,6
6,0.5865,6,9,6
7,0.6016,6,9,6
8,0.6053,6,9,6
9,0.6106,6,9,6
10,0.6222,6,9,6
11,0.6066,6,9,6
12,0.6321,6,9,6
13,0.6262,6,9,6
14,0.6289,6,9,6
15,0.6336,6,9,6
16,0.6224,6,9,6
17,0.6389,6,9,6
18,0.6277,6,9,6
19,0.6388,6,9,6
20,0.6423,6,9,6
21,0.6479,6,9,6
22,0.6343,6,9,6
23,0.644,6,9,6
24,0.6419,6,9,6
25,0.6492,6,9,6
26,0.6482,6,9,6
27,0.6463,6,9,6
28,0.6486,6,9,6
29,0.644,6,9,6
30,0.651,6,9,6
31,0.6485,6,9,6
32,0.6382,6,9,6
33,0.6502,6,9,6
34,0.6531,6,9,6
35,0.6506,6,9,6
36,0.6526,6,9,6
37,0.6529,6,9,6
38,0.6527,6,9,6
39,0.6556,6,9,6
40,0.6531,6,9,6
41,0.6529,6,9,6
42,0.6543,6,9,6
43,0.6436,6,9,6
44,0.6543,6,9,6
45,0.6508,6,9,6
46,0.6437,6,9,6
47,0.656,6,9,6
48,0.652,6,9,6
49,0.6548,6,9,6
