round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1,1,0,6
1,0.1,1,0,6
2,0.1388,1,0,6
3,0.152,1,0,6
4,0.1656,1,0,6
5,0.1,1,0,6
6,0.1553,5,4,6
7,0.2681,5,4,6
8,0.4016,5,4,6
9,0.5863,5,4,6
10,0.6257,5,4,6
11,0.6509,5,6,6
12,0.6537,5,6,6
13,0.7173,5,6,6
14,0.7069,5,6,6
15,0.7391,5,6,6
16,0.7566,5,6,6
17,0.7676,5,6,6
18,0.7656,5,6,6
19,0.7775,5,6,6
20,0.7714,5,6,6
21,0.7891,5,6,6
22,0.778,5,6,6
23,0.7961,5,6,6
24,0.8014,5,6,6
25,0.7684,5,6,6
26,0.7974,5,6,6
27,0.8013,5,6,6
28,0.8087,5,6,6
29,0.8318,6,7,6
30,0.8319,6,7,6
31,0.8319,6,11,6
32,0.8364,6,11,6
33,0.8407,6,11,6
34,0.836,6,11,6
35,0.8406,6,11,6
36,0.8496,6,11,6
37,0.8437,6,11,6
38,0.8472,6,11,6
39,0.8478,6,11,6
40,0.8492,6,11,6
41,0.8587,6,11,6
42,0.8539,6,11,6
43,0.8542,6,11,6
44,0.8518,6,11,6
45,0.855,6,11,6
46,0.8617,6,11,6
47,0.8617,6,11,6
48,0.8641,6,11,6
49,0.8672,6,11,6
