round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1708,3,4,3
1,0.2615,3,4,3
2,0.2297,3,6,3
3,0.3084,3,6,3
4,0.3097,3,10,3
5,0.3501,3,10,3
6,0.3604,3,10,3
7,0.3813,3,10,3
8,0.3865,3,10,3
9,0.3952,3,10,3
10,0.4046,3,10,3
11,0.4193,3,10,3
12,0.4296,3,10,3
13,0.4252,3,10,3
14,0.438,3,10,3
15,0.4472,3,10,3
16,0.4511,3,10,3
17,0.459,3,10,3
18,0.4656,3,10,3
19,0.4814,3,10,3
20,0.4805,3,10,3
21,0.4894,3,10,3
22,0.473,3,15,3
23,0.4882,3,18,3
24,0.4959,3,18,3
25,0.4867,3,18,3
26,0.5097,3,18,3
27,0.5031,3,18,3
28,0.5138,3,18,3
29,0.5151,3,18,3
30,0.5215,3,19,3
31,0.509,3,19,3
32,0.5317,3,19,3
33,0.5254,3,19,3
34,0.5316,3,19,3
35,0.5216,3,19,3
36,0.54,3,19,3
37,0.5248,3,19,3
38,0.5467,3,19,3
39,0.5456,3,19,3
40,0.5476,3,19,3
41,0.5454,3,19,3
42,0.5506,3,19,3
43,0.5503,3,19,3
44,0.5488,3,19,3
45,0.552,3,19,3
46,0.5586,3,19,3
47,0.5604,3,19,3
48,0.5668,3,19,3
49,0.5721,3,19,3
