round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.351,2,4,6
1,0.6115,5,4,6
2,0.6987,5,4,6
3,0.7274,5,4,6
4,0.7486,5,4,6
5,0.755,5,4,6
6,0.7777,5,4,6
7,0.7857,5,4,6
8,0.7963,5,4,6
9,0.7964,5,4,6
10,0.8118,5,4,6
11,0.8119,5,4,6
12,0.8165,5,4,6
13,0.8282,5,4,6
14,0.8304,5,4,6
15,0.8346,5,4,6
16,0.8364,5,4,6
17,0.8431,5,4,6
18,0.8442,5,4,6
19,0.8464,5,4,6
20,0.8488,5,4,6
21,0.8464,5,4,6
22,0.8525,5,4,6
23,0.8564,5,4,6
24,0.8541,5,4,6
25,0.8579,5,4,6
26,0.8586,5,4,6
27,0.8605,5,4,6
28,0.8621,5,4,6
29,0.8649,5,4,6
30,0.8594,5,4,6
31,0.8646,5,4,6
32,0.8642,5,4,6
33,0.8661,5,4,6
34,0.8669,5,4,6
35,0.8679,5,4,6
36,0.8703,5,4,6
37,0.8708,5,4,6
38,0.8702,5,4,6
39,0.8729,5,4,6
40,0.8723,5,4,6
41,0.8737,5,4,6
42,0.8747,5,4,6
43,0.8738,5,4,6
44,0.8762,5,4,6
45,0.8761,5,4,6
46,0.8759,5,4,6
47,0.878,5,4,6
48,0.8804,5,4,6
49,0.8798,5,4,6
