round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3062,2,1,3
1,0.6391,3,1,3
2,0.7248,3,1,3
3,0.7524,3,1,3
4,0.7703,3,1,3
5,0.78,3,1,3
6,0.7872,3,1,3
7,0.7918,3,1,3
8,0.7967,3,1,3
9,0.8058,3,1,3
10,0.8144,3,1,3
11,0.8216,3,1,3
12,0.8212,3,1,3
13,0.8283,3,1,3
14,0.8339,3,1,3
15,0.8352,3,1,3
16,0.8383,3,1,3
17,0.8402,3,1,3
18,0.8456,3,1,3
19,0.8449,3,1,3
20,0.8521,3,1,3
21,0.8511,3,1,3
22,0.8562,3,1,3
23,0.8587,3,1,3
24,0.8574,3,1,3
25,0.8604,3,1,3
26,0.8618,3,1,3
27,0.8629,3,1,3
28,0.8646,3,1,3
29,0.8647,3,1,3
30,0.8661,3,1,3
31,0.8666,3,1,3
32,0.8681,3,1,3
33,0.8682,3,1,3
34,0.8696,3,1,3
35,0.8708,3,1,3
36,0.8738,3,1,3
37,0.876,3,1,3
38,0.8728,3,1,3
39,0.878,3,1,3
40,0.8747,3,1,3
41,0.8768,3,1,3
42,0.879,3,1,3
43,0.8776,3,1,3
44,0.8794,3,1,3
45,0.883,3,1,3
46,0.88,3,1,3
47,0.8828,3,1,3
48,0.8832,3,1,3
49,0.8839,3,1,3
