round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1605,2,1,3
1,0.2011,2,1,3
2,0.2037,2,1,3
3,0.2357,3,3,3
4,0.2779,3,3,3
5,0.2983,3,3,3
6,0.3391,3,3,3
7,0.3618,3,3,3
8,0.3879,3,3,3
9,0.4047,3,3,3
10,0.4188,3,3,3
11,0.4295,3,3,3
12,0.4399,3,3,3
13,0.4547,3,7,3
14,0.4617,3,7,3
15,0.4624,3,7,3
16,0.4715,3,7,3
17,0.4802,3,7,3
18,0.4867,3,7,3
19,0.4931,3,7,3
20,0.5002,3,7,3
21,0.5004,3,7,3
22,0.5075,3,7,3
23,0.5195,3,7,3
24,0.5135,3,7,3
25,0.5247,3,7,3
26,0.5205,3,7,3
27,0.5319,3,7,3
28,0.5404,3,7,3
29,0.5438,3,7,3
30,0.5441,3,7,3
31,0.5491,3,7,3
32,0.5555,3,7,3
33,0.5604,3,7,3
34,0.5645,3,7,3
35,0.566,3,7,3
36,0.564,3,7,3
37,0.5743,3,7,3
38,0.5744,3,7,3
39,0.5754,3,13,3
40,0.5842,3,13,3
41,0.5792,3,13,3
42,0.5889,3,13,3
43,0.5894,3,13,3
44,0.5978,3,13,3
45,0.595,3,13,3
46,0.5904,3,13,3
47,0.6001,3,13,3
48,0.595,3,13,3
49,0.6068,3,13,3
